Bin index,yH299-parent-pool3_normalized,yH299-parent-pool3_normalized rank
CP048230.1-0,2,1200
CP048230.1-1,1,1215
CP048230.1-2,1,1216
CP048230.1-3,22,553
CP048230.1-4,14,810
CP048230.1-5,65,86
CP048230.1-6,61,104
CP048230.1-7,120,15
CP048230.1-8,45,197
CP048230.1-9,112,19
CP048230.1-10,32,347
CP048230.1-11,15,766
CP048230.1-12,100,27
CP048230.1-13,41,247
CP048230.1-14,100,28
CP048230.1-15,44,206
CP048230.1-16,22,554
CP048230.1-17,30,389
CP048230.1-18,83,47
CP048230.1-19,50,158
CP048230.1-20,38,278
CP048230.1-21,5,1118
CP048230.1-22,3,1176
CP048230.1-23,44,207
CP048230.1-24,8,1012
CP048230.1-25,39,260
CP048230.1-26,51,150
CP048230.1-27,24,507
CP048230.1-28,12,865
CP048230.1-29,7,1046
CP048230.1-30,2,1201
CP048230.1-31,8,1013
CP048230.1-32,24,508
CP048230.1-33,24,509
CP048230.1-34,28,423
CP048230.1-35,37,288
CP048230.1-36,11,901
CP048230.1-37,43,217
CP048230.1-38,12,866
CP048230.1-39,7,1047
CP048230.1-40,14,811
CP048230.1-41,31,364
CP048230.1-42,11,902
CP048230.1-43,35,314
CP048230.1-44,50,159
CP048230.1-45,13,834
CP048230.1-46,22,555
CP048230.1-47,33,333
CP048230.1-48,32,348
CP048230.1-49,3,1177
CP048231.1-0,1,1217
CP048231.1-1,18,655
CP048231.1-2,15,767
CP048231.1-3,32,349
CP048231.1-4,39,261
CP048231.1-5,43,218
CP048231.1-6,24,510
CP048231.1-7,38,279
CP048231.1-8,25,483
CP048231.1-9,67,80
CP048231.1-10,13,835
CP048231.1-11,14,812
CP048231.1-12,9,978
CP048231.1-13,10,945
CP048231.1-14,19,630
CP048231.1-15,16,723
CP048231.1-16,6,1088
CP048231.1-17,15,768
CP048231.1-18,13,836
CP048231.1-19,15,769
CP048231.1-20,21,578
CP048231.1-21,3,1178
CP048231.1-22,20,604
CP048231.1-23,69,74
CP048231.1-24,33,334
CP048231.1-25,36,296
CP048231.1-26,42,232
CP048231.1-27,62,100
CP048231.1-28,70,70
CP048231.1-29,97,32
CP048231.1-30,79,52
CP048231.1-31,20,605
CP048231.1-32,16,724
CP048231.1-33,12,867
CP048231.1-34,30,390
CP048231.1-35,111,22
CP048231.1-36,12,868
CP048231.1-37,78,54
CP048231.1-38,117,16
CP048231.1-39,39,262
CP048231.1-40,23,531
CP048231.1-41,62,101
CP048231.1-42,54,134
CP048231.1-43,63,97
CP048231.1-44,141,8
CP048231.1-45,104,26
CP048231.1-46,77,55
CP048231.1-47,112,20
CP048231.1-48,97,33
CP048231.1-49,7,1048
CP048231.1-50,1,1218
CP048231.1-51,5,1119
CP048232.1-0,0,1238
CP048232.1-1,8,1014
CP048232.1-2,12,869
CP048232.1-3,18,656
CP048232.1-4,23,532
CP048232.1-5,32,350
CP048232.1-6,16,725
CP048232.1-7,25,484
CP048232.1-8,15,770
