Bin index,yH298-parent-pool1,yH298-parent-pool1 rank
CP048230.1-0,0,1243
CP048230.1-1,0,1244
CP048230.1-2,2,1224
CP048230.1-3,45,494
CP048230.1-4,42,551
CP048230.1-5,95,128
CP048230.1-6,135,50
CP048230.1-7,193,20
CP048230.1-8,90,144
CP048230.1-9,179,26
CP048230.1-10,62,318
CP048230.1-11,28,812
CP048230.1-12,185,23
CP048230.1-13,77,196
CP048230.1-14,165,32
CP048230.1-15,63,308
CP048230.1-16,39,600
CP048230.1-17,63,309
CP048230.1-18,129,55
CP048230.1-19,78,192
CP048230.1-20,83,171
CP048230.1-21,16,1037
CP048230.1-22,6,1189
CP048230.1-23,63,310
CP048230.1-24,17,1015
CP048230.1-25,70,253
CP048230.1-26,79,187
CP048230.1-27,59,343
CP048230.1-28,34,674
CP048230.1-29,19,980
CP048230.1-30,4,1215
CP048230.1-31,13,1098
CP048230.1-32,50,435
CP048230.1-33,50,436
CP048230.1-34,65,294
CP048230.1-35,58,355
CP048230.1-36,24,884
CP048230.1-37,71,246
CP048230.1-38,30,750
CP048230.1-39,27,829
CP048230.1-40,30,751
CP048230.1-41,57,360
CP048230.1-42,34,675
CP048230.1-43,59,344
CP048230.1-44,76,202
CP048230.1-45,32,705
CP048230.1-46,56,370
CP048230.1-47,53,397
CP048230.1-48,62,319
CP048230.1-49,0,1245
CP048230.1-50,2,1225
CP048231.1-0,0,1246
CP048231.1-1,38,623
CP048231.1-2,30,752
CP048231.1-3,51,421
CP048231.1-4,47,469
CP048231.1-5,73,230
CP048231.1-6,55,375
CP048231.1-7,65,295
CP048231.1-8,34,676
CP048231.1-9,110,85
CP048231.1-10,43,530
CP048231.1-11,32,706
CP048231.1-12,13,1099
CP048231.1-13,18,993
CP048231.1-14,30,753
CP048231.1-15,30,754
CP048231.1-16,14,1074
CP048231.1-17,21,943
CP048231.1-18,31,728
CP048231.1-19,27,830
CP048231.1-20,27,831
CP048231.1-21,3,1221
CP048231.1-22,50,437
CP048231.1-23,111,81
CP048231.1-24,47,470
CP048231.1-25,69,262
CP048231.1-26,60,334
CP048231.1-27,89,149
CP048231.1-28,101,104
CP048231.1-29,154,40
CP048231.1-30,126,59
CP048231.1-31,43,531
CP048231.1-32,34,677
CP048231.1-33,26,850
CP048231.1-34,52,407
CP048231.1-35,161,36
CP048231.1-36,44,510
CP048231.1-37,107,91
CP048231.1-38,205,14
CP048231.1-39,77,197
CP048231.1-40,57,361
CP048231.1-41,101,105
CP048231.1-42,114,75
CP048231.1-43,100,111
CP048231.1-44,208,13
CP048231.1-45,188,21
CP048231.1-46,145,42
CP048231.1-47,179,27
CP048231.1-48,187,22
CP048231.1-49,15,1055
CP048231.1-50,0,1247
CP048231.1-51,5,1204
CP048232.1-0,1,1229
CP048232.1-1,15,1056
CP048232.1-2,26,851
CP048232.1-3,46,479
CP048232.1-4,37,633
CP048232.1-5,43,532
CP048232.1-6,44,511
CP048232.1-7,43,533
CP048232.1-8,39,601
CP048232.1-9,8,1170
CP048232.1-10,39,602
CP048232.1-11,35,662
CP048232.1-12,25,865
CP048232.1-13,27,832
CP048232.1-14,32,707
CP048232.1-15,29,786
CP048232.1-16,97,117
CP048232.1-17,15,1057
CP048232.1-18,75,210
CP048232.1-19,40,582
CP048232.1-20,15,1058
CP048232.1-21,43,534
CP048232.1-22,31,729
CP048232.1-23,78,193
CP048232.1-24,110,86
CP048232.1-25,25,866
CP048232.1-26,32,708
CP048232.1-27,60,335
CP048232.1-28,64,305
CP048232.1-29,43,535
CP048232.1-30,35,663
CP048232.1-31,101,106
CP048232.1-32,61,326
CP048232.1-33,44,512
CP048232.1-34,84,167
CP048232.1-35,43,536
CP048232.1-36,123,62
CP048232.1-37,136,49
CP048232.1-38,106,92
CP048232.1-39,125,60
CP048232.1-40,184,24
CP048232.1-41,200,16
CP048232.1-42,178,29
CP048232.1-43,282,2
CP048232.1-44,164,33
CP048232.1-45,168,31
CP048232.1-46,74,220
CP048232.1-47,146,41
CP048232.1-48,60,336
CP048232.1-49,49,446
CP048232.1-50,65,296
CP048232.1-51,30,755
CP048232.1-52,32,709
CP048232.1-53,18,994
CP048233.1-0,1,1230
CP048233.1-1,17,1016
CP048233.1-2,49,447
CP048233.1-3,31,730
CP048233.1-4,12,1114
CP048233.1-5,68,274
CP048233.1-6,37,634
CP048233.1-7,49,448
CP048233.1-8,66,287
CP048233.1-9,118,72
CP048233.1-10,95,129
CP048233.1-11,8,1171
CP048233.1-12,49,449
CP048233.1-13,42,552
CP048233.1-14,30,756
CP048233.1-15,14,1075
CP048233.1-16,43,537
CP048233.1-17,12,1115
CP048233.1-18,82,176
CP048233.1-19,32,710
CP048233.1-20,12,1116
CP048233.1-21,27,833
CP048233.1-22,14,1076
CP048233.1-23,11,1135
CP048233.1-24,63,311
CP048233.1-25,18,995
CP048233.1-26,15,1059
CP048233.1-27,15,1060
CP048233.1-28,2,1226
CP048233.1-29,15,1061
CP048233.1-30,32,711
CP048233.1-31,18,996
CP048233.1-32,6,1190
CP048233.1-33,29,787
CP048233.1-34,16,1038
CP048233.1-35,28,813
CP048233.1-36,14,1077
CP048233.1-37,17,1017
CP048233.1-38,46,480
CP048233.1-39,45,495
CP048233.1-40,45,496
CP048233.1-41,17,1018
CP048233.1-42,43,538
CP048233.1-43,34,678
CP048233.1-44,49,450
CP048233.1-45,29,788
CP048233.1-46,29,789
CP048233.1-47,59,345
CP048233.1-48,31,731
CP048233.1-49,75,211
CP048233.1-50,59,346
CP048233.1-51,46,481
CP048233.1-52,18,997
CP048233.1-53,113,77
CP048233.1-54,86,155
CP048233.1-55,131,52
CP048233.1-56,75,212
CP048233.1-57,106,93
CP048233.1-58,102,102
CP048233.1-59,108,89
CP048233.1-60,158,37
CP048233.1-61,76,203
CP048233.1-62,88,152
CP048233.1-63,63,312
CP048233.1-64,179,28
CP048233.1-65,44,513
CP048233.1-66,128,56
CP048233.1-67,53,398
CP048233.1-68,101,107
CP048233.1-69,8,1172
CP048234.1-0,1,1231
CP048234.1-1,10,1149
CP048234.1-2,0,1248
CP048234.1-3,1,1232
CP048234.1-4,20,963
CP048234.1-5,24,885
CP048234.1-6,26,852
CP048234.1-7,24,886
CP048234.1-8,29,790
CP048234.1-9,31,732
CP048234.1-10,19,981
CP048234.1-11,28,814
CP048234.1-12,69,263
CP048234.1-13,66,288
CP048234.1-14,75,213
CP048234.1-15,34,679
CP048234.1-16,25,867
CP048234.1-17,34,680
CP048234.1-18,29,791
CP048234.1-19,86,156
CP048234.1-20,97,118
CP048234.1-21,66,289
CP048234.1-22,96,124
CP048234.1-23,264,5
CP048234.1-24,111,82
CP048234.1-25,122,64
CP048234.1-26,145,43
CP048234.1-27,101,108
CP048234.1-28,87,154
CP048234.1-29,85,161
CP048234.1-30,114,76
CP048234.1-31,125,61
CP048234.1-32,77,198
CP048234.1-33,76,204
CP048234.1-34,17,1019
CP048234.1-35,25,868
CP048234.1-36,109,87
CP048234.1-37,54,384
CP048234.1-38,44,514
CP048234.1-39,102,103
CP048234.1-40,20,964
CP048234.1-41,53,399
CP048234.1-42,29,792
CP048234.1-43,80,181
CP048234.1-44,119,69
CP048234.1-45,47,471
CP048234.1-46,65,297
CP048234.1-47,52,408
CP048234.1-48,34,681
CP048234.1-49,71,247
CP048234.1-50,72,237
CP048234.1-51,10,1150
CP048234.1-52,54,385
CP048234.1-53,37,635
CP048234.1-54,12,1117
CP048234.1-55,27,834
CP048234.1-56,55,376
CP048234.1-57,81,180
CP048234.1-58,72,238
CP048234.1-59,33,689
CP048234.1-60,14,1078
CP048234.1-61,51,422
CP048234.1-62,95,130
CP048234.1-63,50,438
CP048234.1-64,55,377
CP048234.1-65,46,482
CP048234.1-66,50,439
CP048234.1-67,25,869
CP048234.1-68,5,1205
CP048234.1-69,0,1249
CP048234.1-70,1,1233
CP048235.1-0,6,1191
CP048235.1-1,0,1250
CP048235.1-2,6,1192
CP048235.1-3,52,409
CP048235.1-4,84,168
CP048235.1-5,122,65
CP048235.1-6,7,1182
CP048235.1-7,66,290
CP048235.1-8,100,112
CP048235.1-9,36,647
CP048235.1-10,50,440
CP048235.1-11,32,712
CP048235.1-12,33,690
CP048235.1-13,36,648
CP048235.1-14,120,68
CP048235.1-15,56,371
CP048235.1-16,182,25
CP048235.1-17,18,998
CP048235.1-18,76,205
CP048235.1-19,94,132
CP048235.1-20,108,90
CP048235.1-21,31,733
CP048235.1-22,43,539
CP048235.1-23,117,73
CP048235.1-24,278,3
CP048235.1-25,145,44
CP048235.1-26,65,298
CP048235.1-27,100,113
CP048235.1-28,39,603
CP048235.1-29,44,515
CP048235.1-30,112,79
CP048235.1-31,33,691
CP048235.1-32,29,793
CP048235.1-33,42,553
CP048235.1-34,61,327
CP048235.1-35,68,275
CP048235.1-36,25,870
CP048235.1-37,83,172
CP048235.1-38,14,1079
CP048235.1-39,25,871
CP048235.1-40,24,887
CP048235.1-41,34,682
CP048235.1-42,46,483
CP048235.1-43,123,63
CP048235.1-44,9,1161
CP048235.1-45,26,853
CP048235.1-46,62,320
CP048235.1-47,86,157
CP048235.1-48,72,239
CP048235.1-49,35,664
CP048235.1-50,76,206
CP048235.1-51,32,713
CP048235.1-52,10,1151
CP048235.1-53,75,214
CP048235.1-54,17,1020
CP048235.1-55,60,337
CP048235.1-56,15,1062
CP048235.1-57,22,924
CP048235.1-58,26,854
CP048235.1-59,16,1039
CP048235.1-60,55,378
CP048235.1-61,65,299
CP048235.1-62,48,459
CP048235.1-63,40,583
CP048235.1-64,30,757
CP048235.1-65,6,1193
CP048235.1-66,17,1021
CP048235.1-67,10,1152
CP048235.1-68,28,815
CP048235.1-69,53,400
CP048235.1-70,70,254
CP048235.1-71,16,1040
CP048235.1-72,22,925
CP048235.1-73,35,665
CP048235.1-74,58,356
CP048235.1-75,100,114
CP048235.1-76,24,888
CP048235.1-77,24,889
CP048235.1-78,12,1118
CP048235.1-79,27,835
CP048235.1-80,44,516
CP048235.1-81,51,423
CP048235.1-82,34,683
CP048235.1-83,36,649
CP048235.1-84,21,944
CP048235.1-85,15,1063
CP048235.1-86,53,401
CP048235.1-87,21,945
CP048235.1-88,75,215
CP048235.1-89,41,569
CP048235.1-90,82,177
CP048235.1-91,39,604
CP048235.1-92,32,714
CP048235.1-93,5,1206
CP048236.1-0,6,1194
CP048236.1-1,0,1251
CP048236.1-2,8,1173
CP048236.1-3,86,158
CP048236.1-4,122,66
CP048236.1-5,222,11
CP048236.1-6,41,570
CP048236.1-7,70,255
CP048236.1-8,156,39
CP048236.1-9,128,57
CP048236.1-10,39,605
CP048236.1-11,131,53
CP048236.1-12,121,67
CP048236.1-13,83,173
CP048236.1-14,62,321
CP048236.1-15,61,328
CP048236.1-16,97,119
CP048236.1-17,43,540
CP048236.1-18,17,1022
CP048236.1-19,61,329
CP048236.1-20,90,145
CP048236.1-21,20,965
CP048236.1-22,26,855
CP048236.1-23,63,313
CP048236.1-24,19,982
CP048236.1-25,30,758
CP048236.1-26,50,441
CP048236.1-27,69,264
CP048236.1-28,90,146
CP048236.1-29,45,497
CP048236.1-30,12,1119
CP048236.1-31,57,362
CP048236.1-32,31,734
CP048236.1-33,39,606
CP048236.1-34,4,1216
CP048236.1-35,26,856
CP048236.1-36,52,410
CP048236.1-37,30,759
CP048236.1-38,43,541
CP048236.1-39,74,221
CP048236.1-40,15,1064
CP048236.1-41,20,966
CP048236.1-42,39,607
CP048236.1-43,20,967
CP048236.1-44,43,542
CP048236.1-45,11,1136
CP048236.1-46,20,968
CP048236.1-47,73,231
CP048236.1-48,18,999
CP048236.1-49,18,1000
CP048236.1-50,26,857
CP048236.1-51,74,222
CP048236.1-52,24,890
CP048236.1-53,42,554
CP048236.1-54,30,760
CP048236.1-55,45,498
CP048236.1-56,33,692
CP048236.1-57,69,265
CP048236.1-58,41,571
CP048236.1-59,43,543
CP048236.1-60,51,424
CP048236.1-61,6,1195
CP048236.1-62,24,891
CP048236.1-63,57,363
CP048236.1-64,70,256
CP048236.1-65,18,1001
CP048236.1-66,36,650
CP048236.1-67,30,761
CP048236.1-68,13,1100
CP048236.1-69,18,1002
CP048236.1-70,80,182
CP048236.1-71,23,906
CP048236.1-72,19,983
CP048236.1-73,44,517
CP048236.1-74,40,584
CP048236.1-75,9,1162
CP048236.1-76,10,1153
CP048236.1-77,47,472
CP048236.1-78,27,836
CP048236.1-79,35,666
CP048236.1-80,6,1196
CP048236.1-81,22,926
CP048236.1-82,59,347
CP048236.1-83,29,794
CP048236.1-84,45,499
CP048236.1-85,1,1234
CP048236.1-86,41,572
CP048236.1-87,53,402
CP048236.1-88,34,684
CP048236.1-89,42,555
CP048236.1-90,20,969
CP048236.1-91,29,795
CP048236.1-92,60,338
CP048236.1-93,59,348
CP048236.1-94,27,837
CP048236.1-95,11,1137
CP048236.1-96,49,451
CP048236.1-97,8,1174
CP048236.1-98,65,300
CP048236.1-99,12,1120
CP048236.1-100,5,1207
CP048237.1-0,1,1235
CP048237.1-1,0,1252
CP048237.1-2,42,556
CP048237.1-3,42,557
CP048237.1-4,42,558
CP048237.1-5,28,816
CP048237.1-6,17,1023
CP048237.1-7,75,216
CP048237.1-8,42,559
CP048237.1-9,19,984
CP048237.1-10,23,907
CP048237.1-11,34,685
CP048237.1-12,23,908
CP048237.1-13,30,762
CP048237.1-14,27,838
CP048237.1-15,11,1138
CP048237.1-16,13,1101
CP048237.1-17,22,927
CP048237.1-18,38,624
CP048237.1-19,43,544
CP048237.1-20,23,909
CP048237.1-21,31,735
CP048237.1-22,31,736
CP048237.1-23,29,796
CP048237.1-24,67,281
CP048237.1-25,33,693
CP048237.1-26,9,1163
CP048237.1-27,11,1139
CP048237.1-28,29,797
CP048237.1-29,20,970
CP048237.1-30,5,1208
CP048237.1-31,12,1121
CP048237.1-32,56,372
CP048237.1-33,21,946
CP048237.1-34,46,484
CP048237.1-35,37,636
CP048237.1-36,29,798
CP048237.1-37,13,1102
CP048237.1-38,79,188
CP048237.1-39,58,357
CP048237.1-40,79,189
CP048237.1-41,14,1080
CP048237.1-42,23,910
CP048237.1-43,22,928
CP048237.1-44,33,694
CP048237.1-45,8,1175
CP048237.1-46,30,763
CP048237.1-47,30,764
CP048237.1-48,55,379
CP048237.1-49,30,765
CP048237.1-50,2,1227
CP048237.1-51,77,199
CP048237.1-52,22,929
CP048237.1-53,28,817
CP048237.1-54,73,232
CP048237.1-55,39,608
CP048237.1-56,7,1183
CP048237.1-57,54,386
CP048237.1-58,21,947
CP048237.1-59,5,1209
CP048237.1-60,50,442
CP048237.1-61,54,387
CP048237.1-62,25,872
CP048237.1-63,33,695
CP048237.1-64,67,282
CP048237.1-65,36,651
CP048237.1-66,31,737
CP048237.1-67,36,652
CP048237.1-68,39,609
CP048237.1-69,39,610
CP048237.1-70,30,766
CP048237.1-71,28,818
CP048237.1-72,12,1122
CP048237.1-73,106,94
CP048237.1-74,39,611
CP048237.1-75,59,349
CP048237.1-76,18,1003
CP048237.1-77,15,1065
CP048237.1-78,40,585
CP048237.1-79,42,560
CP048237.1-80,24,892
CP048237.1-81,72,240
CP048237.1-82,93,136
CP048237.1-83,69,266
CP048237.1-84,32,715
CP048237.1-85,97,120
CP048237.1-86,113,78
CP048237.1-87,95,131
CP048237.1-88,70,257
CP048237.1-89,39,612
CP048237.1-90,88,153
CP048237.1-91,162,34
CP048237.1-92,85,162
CP048237.1-93,57,364
CP048237.1-94,49,452
CP048237.1-95,211,12
CP048237.1-96,78,194
CP048237.1-97,321,1
CP048237.1-98,140,47
CP048237.1-99,264,6
CP048237.1-100,63,314
CP048237.1-101,52,411
CP048237.1-102,61,330
CP048237.1-103,48,460
CP048237.1-104,69,267
CP048237.1-105,28,819
CP048238.1-0,5,1210
CP048238.1-1,0,1253
CP048238.1-2,35,667
CP048238.1-3,31,738
CP048238.1-4,86,159
CP048238.1-5,42,561
CP048238.1-6,73,233
CP048238.1-7,63,315
CP048238.1-8,50,443
CP048238.1-9,16,1041
CP048238.1-10,37,637
CP048238.1-11,51,425
CP048238.1-12,59,350
CP048238.1-13,42,562
CP048238.1-14,35,668
CP048238.1-15,91,142
CP048238.1-16,45,500
CP048238.1-17,92,141
CP048238.1-18,76,207
CP048238.1-19,76,208
CP048238.1-20,42,563
CP048238.1-21,20,971
CP048238.1-22,30,767
CP048238.1-23,13,1103
CP048238.1-24,27,839
CP048238.1-25,45,501
CP048238.1-26,38,625
CP048238.1-27,96,125
CP048238.1-28,54,388
CP048238.1-29,105,96
CP048238.1-30,12,1123
CP048238.1-31,101,109
CP048238.1-32,69,268
CP048238.1-33,62,322
CP048238.1-34,33,696
CP048238.1-35,112,80
CP048238.1-36,90,147
CP048238.1-37,67,283
CP048238.1-38,65,301
CP048238.1-39,223,10
CP048238.1-40,141,45
CP048238.1-41,40,586
CP048238.1-42,37,638
CP048238.1-43,79,190
CP048238.1-44,235,8
CP048238.1-45,94,133
CP048238.1-46,26,858
CP048238.1-47,52,412
CP048238.1-48,90,148
CP048238.1-49,42,564
CP048238.1-50,37,639
CP048238.1-51,62,323
CP048238.1-52,23,911
CP048238.1-53,70,258
CP048238.1-54,84,169
CP048238.1-55,71,248
CP048238.1-56,43,545
CP048238.1-57,54,389
CP048238.1-58,0,1254
CP048238.1-59,28,820
CP048238.1-60,70,259
CP048238.1-61,0,1255
CP048238.1-62,13,1104
CP048238.1-63,8,1176
CP048238.1-64,13,1105
CP048238.1-65,3,1222
CP048238.1-66,23,912
CP048238.1-67,42,565
CP048238.1-68,89,150
CP048238.1-69,25,873
CP048238.1-70,84,170
CP048238.1-71,85,163
CP048238.1-72,43,546
CP048238.1-73,41,573
CP048238.1-74,0,1256
CP048238.1-75,1,1236
CP048239.1-0,2,1228
CP048239.1-1,0,1257
CP048239.1-2,19,985
CP048239.1-3,72,241
CP048239.1-4,40,587
CP048239.1-5,66,291
CP048239.1-6,75,217
CP048239.1-7,8,1177
CP048239.1-8,56,373
CP048239.1-9,13,1106
CP048239.1-10,72,242
CP048239.1-11,15,1066
CP048239.1-12,34,686
CP048239.1-13,25,874
CP048239.1-14,31,739
CP048239.1-15,96,126
CP048239.1-16,74,223
CP048239.1-17,139,48
CP048239.1-18,93,137
CP048239.1-19,45,502
CP048239.1-20,56,374
CP048239.1-21,46,485
CP048239.1-22,103,100
CP048239.1-23,265,4
CP048239.1-24,195,19
CP048239.1-25,75,218
CP048239.1-26,45,503
CP048239.1-27,128,58
CP048239.1-28,111,83
CP048239.1-29,67,284
CP048239.1-30,85,164
CP048239.1-31,74,224
CP048239.1-32,24,893
CP048239.1-33,65,302
CP048239.1-34,32,716
CP048239.1-35,44,518
CP048239.1-36,35,669
CP048239.1-37,11,1140
CP048239.1-38,41,574
CP048239.1-39,51,426
CP048239.1-40,53,403
CP048239.1-41,66,292
CP048239.1-42,49,453
CP048239.1-43,16,1042
CP048239.1-44,46,486
CP048239.1-45,20,972
CP048239.1-46,20,973
CP048239.1-47,12,1124
CP048239.1-48,24,894
CP048239.1-49,29,799
CP048239.1-50,26,859
CP048239.1-51,18,1004
CP048239.1-52,1,1237
CP048239.1-53,15,1067
CP048239.1-54,22,930
CP048239.1-55,43,547
CP048239.1-56,9,1164
CP048239.1-57,14,1081
CP048239.1-58,11,1141
CP048239.1-59,45,504
CP048239.1-60,51,427
CP048239.1-61,54,390
CP048239.1-62,39,613
CP048239.1-63,4,1217
CP048239.1-64,38,626
CP048239.1-65,60,339
CP048239.1-66,25,875
CP048239.1-67,21,948
CP048239.1-68,30,768
CP048239.1-69,14,1082
CP048239.1-70,25,876
CP048239.1-71,39,614
CP048239.1-72,59,351
CP048239.1-73,59,352
CP048239.1-74,16,1043
CP048239.1-75,29,800
CP048239.1-76,49,454
CP048239.1-77,29,801
CP048239.1-78,16,1044
CP048239.1-79,16,1045
CP048239.1-80,14,1083
CP048239.1-81,18,1005
CP048239.1-82,6,1197
CP048239.1-83,13,1107
CP048239.1-84,35,670
CP048239.1-85,10,1154
CP048239.1-86,46,487
CP048239.1-87,46,488
CP048239.1-88,22,931
CP048239.1-89,26,860
CP048239.1-90,27,840
CP048239.1-91,23,913
CP048239.1-92,11,1142
CP048239.1-93,21,949
CP048239.1-94,45,505
CP048239.1-95,68,276
CP048239.1-96,24,895
CP048239.1-97,8,1178
CP048239.1-98,17,1024
CP048239.1-99,21,950
CP048239.1-100,44,519
CP048239.1-101,57,365
CP048239.1-102,22,932
CP048239.1-103,29,802
CP048239.1-104,14,1084
CP048239.1-105,32,717
CP048239.1-106,39,615
CP048239.1-107,12,1125
CP048239.1-108,14,1085
CP048239.1-109,15,1068
CP048239.1-110,18,1006
CP048239.1-111,24,896
CP048239.1-112,42,566
CP048239.1-113,32,718
CP048239.1-114,28,821
CP048239.1-115,18,1007
CP048239.1-116,30,769
CP048239.1-117,33,697
CP048239.1-118,55,380
CP048239.1-119,51,428
CP048239.1-120,18,1008
CP048239.1-121,14,1086
CP048239.1-122,1,1238
CP048239.1-123,0,1258
CP048239.1-124,3,1223
CP048240.1-0,0,1259
CP048240.1-1,1,1239
CP048240.1-2,52,413
CP048240.1-3,82,178
CP048240.1-4,46,489
CP048240.1-5,8,1179
CP048240.1-6,54,391
CP048240.1-7,82,179
CP048240.1-8,38,627
CP048240.1-9,41,575
CP048240.1-10,17,1025
CP048240.1-11,40,588
CP048240.1-12,27,841
CP048240.1-13,25,877
CP048240.1-14,75,219
CP048240.1-15,44,520
CP048240.1-16,49,455
CP048240.1-17,46,490
CP048240.1-18,74,225
CP048240.1-19,97,121
CP048240.1-20,48,461
CP048240.1-21,44,521
CP048240.1-22,52,414
CP048240.1-23,69,269
CP048240.1-24,119,70
CP048240.1-25,202,15
CP048240.1-26,196,18
CP048240.1-27,228,9
CP048240.1-28,141,46
CP048240.1-29,162,35
CP048240.1-30,77,200
CP048240.1-31,83,174
CP048240.1-32,67,285
CP048240.1-33,64,306
CP048240.1-34,103,101
CP048240.1-35,16,1046
CP048240.1-36,33,698
CP048240.1-37,78,195
CP048240.1-38,70,260
CP048240.1-39,80,183
CP048240.1-40,115,74
CP048240.1-41,54,392
CP048240.1-42,40,589
CP048240.1-43,35,671
CP048240.1-44,47,473
CP048240.1-45,62,324
CP048240.1-46,39,616
CP048240.1-47,49,456
CP048240.1-48,52,415
CP048240.1-49,27,842
CP048240.1-50,40,590
CP048240.1-51,32,719
CP048240.1-52,35,672
CP048240.1-53,46,491
CP048240.1-54,7,1184
CP048240.1-55,23,914
CP048240.1-56,86,160
CP048240.1-57,73,234
CP048240.1-58,53,404
CP048240.1-59,22,933
CP048240.1-60,37,640
CP048240.1-61,57,366
CP048240.1-62,12,1126
CP048240.1-63,23,915
CP048240.1-64,20,974
CP048240.1-65,33,699
CP048240.1-66,12,1127
CP048240.1-67,38,628
CP048240.1-68,24,897
CP048240.1-69,30,770
CP048240.1-70,12,1128
CP048240.1-71,48,462
CP048240.1-72,111,84
CP048240.1-73,58,358
CP048240.1-74,60,340
CP048240.1-75,18,1009
CP048240.1-76,36,653
CP048240.1-77,69,270
CP048240.1-78,30,771
CP048240.1-79,15,1069
CP048240.1-80,18,1010
CP048240.1-81,29,803
CP048240.1-82,23,916
CP048240.1-83,9,1165
CP048240.1-84,39,617
CP048240.1-85,17,1026
CP048240.1-86,36,654
CP048240.1-87,42,567
CP048240.1-88,101,110
CP048240.1-89,44,522
CP048240.1-90,13,1108
CP048240.1-91,48,463
CP048240.1-92,17,1027
CP048240.1-93,54,393
CP048240.1-94,14,1087
CP048240.1-95,30,772
CP048240.1-96,11,1143
CP048240.1-97,32,720
CP048240.1-98,18,1011
CP048240.1-99,30,773
CP048240.1-100,14,1088
CP048240.1-101,11,1144
CP048240.1-102,14,1089
CP048240.1-103,26,861
CP048240.1-104,48,464
CP048240.1-105,31,740
CP048240.1-106,68,277
CP048240.1-107,60,341
CP048240.1-108,5,1211
CP048240.1-109,23,917
CP048240.1-110,21,951
CP048240.1-111,63,316
CP048240.1-112,39,618
CP048240.1-113,21,952
CP048240.1-114,15,1070
CP048240.1-115,69,271
CP048240.1-116,16,1047
CP048240.1-117,61,331
CP048240.1-118,44,523
CP048240.1-119,27,843
CP048240.1-120,44,524
CP048240.1-121,20,975
CP048240.1-122,27,844
CP048240.1-123,24,898
CP048240.1-124,25,878
CP048240.1-125,19,986
CP048240.1-126,73,235
CP048240.1-127,52,416
CP048240.1-128,22,934
CP048240.1-129,55,381
CP048240.1-130,7,1185
CP048241.1-0,6,1198
CP048241.1-1,16,1048
CP048241.1-2,73,236
CP048241.1-3,37,641
CP048241.1-4,47,474
CP048241.1-5,59,353
CP048241.1-6,21,953
CP048241.1-7,71,249
CP048241.1-8,16,1049
CP048241.1-9,74,226
CP048241.1-10,24,899
CP048241.1-11,85,165
CP048241.1-12,17,1028
CP048241.1-13,12,1129
CP048241.1-14,23,918
CP048241.1-15,38,629
CP048241.1-16,23,919
CP048241.1-17,14,1090
CP048241.1-18,80,184
CP048241.1-19,8,1180
CP048241.1-20,5,1212
CP048241.1-21,13,1109
CP048241.1-22,96,127
CP048241.1-23,6,1199
CP048241.1-24,20,976
CP048241.1-25,14,1091
CP048241.1-26,9,1166
CP048241.1-27,28,822
CP048241.1-28,16,1050
CP048241.1-29,31,741
CP048241.1-30,15,1071
CP048241.1-31,7,1186
CP048241.1-32,15,1072
CP048241.1-33,32,721
CP048241.1-34,16,1051
CP048241.1-35,72,243
CP048241.1-36,32,722
CP048241.1-37,52,417
CP048241.1-38,52,418
CP048241.1-39,32,723
CP048241.1-40,42,568
CP048241.1-41,10,1155
CP048241.1-42,28,823
CP048241.1-43,27,845
CP048241.1-44,36,655
CP048241.1-45,51,429
CP048241.1-46,68,278
CP048241.1-47,74,227
CP048241.1-48,41,576
CP048241.1-49,54,394
CP048241.1-50,55,382
CP048241.1-51,40,591
CP048241.1-52,14,1092
CP048241.1-53,5,1213
CP048241.1-54,45,506
CP048241.1-55,34,687
CP048241.1-56,27,846
CP048241.1-57,53,405
CP048241.1-58,46,492
CP048241.1-59,19,987
CP048241.1-60,21,954
CP048241.1-61,59,354
CP048241.1-62,28,824
CP048241.1-63,22,935
CP048241.1-64,36,656
CP048241.1-65,41,577
CP048241.1-66,62,325
CP048241.1-67,47,475
CP048241.1-68,61,332
CP048241.1-69,72,244
CP048241.1-70,23,920
CP048241.1-71,19,988
CP048241.1-72,29,804
CP048241.1-73,30,774
CP048241.1-74,43,548
CP048241.1-75,51,430
CP048241.1-76,39,619
CP048241.1-77,24,900
CP048241.1-78,64,307
CP048241.1-79,85,166
CP048241.1-80,6,1200
CP048241.1-81,31,742
CP048241.1-82,20,977
CP048241.1-83,47,476
CP048241.1-84,41,578
CP048241.1-85,69,272
CP048241.1-86,32,724
CP048241.1-87,25,879
