Bin index,yH299-H2O2-treated-facs-pool3,yH299-H2O2-treated-facs-pool3 rank
CP048230.1-0,3,1222
CP048230.1-1,0,1248
CP048230.1-2,3,1223
CP048230.1-3,41,516
CP048230.1-4,44,477
CP048230.1-5,89,137
CP048230.1-6,109,79
CP048230.1-7,170,24
CP048230.1-8,80,169
CP048230.1-9,197,13
CP048230.1-10,53,360
CP048230.1-11,21,920
CP048230.1-12,144,36
CP048230.1-13,63,271
CP048230.1-14,134,46
CP048230.1-15,68,232
CP048230.1-16,35,626
CP048230.1-17,59,304
CP048230.1-18,149,34
CP048230.1-19,69,222
CP048230.1-20,64,262
CP048230.1-21,18,985
CP048230.1-22,7,1183
CP048230.1-23,59,305
CP048230.1-24,20,941
CP048230.1-25,54,351
CP048230.1-26,81,166
CP048230.1-27,60,298
CP048230.1-28,25,838
CP048230.1-29,29,743
CP048230.1-30,4,1212
CP048230.1-31,15,1051
CP048230.1-32,40,534
CP048230.1-33,46,453
CP048230.1-34,51,381
CP048230.1-35,50,397
CP048230.1-36,20,942
CP048230.1-37,66,247
CP048230.1-38,23,870
CP048230.1-39,19,972
CP048230.1-40,27,790
CP048230.1-41,48,428
CP048230.1-42,21,921
CP048230.1-43,61,290
CP048230.1-44,67,238
CP048230.1-45,25,839
CP048230.1-46,35,627
CP048230.1-47,53,361
CP048230.1-48,49,409
CP048230.1-49,0,1249
CP048230.1-50,4,1213
CP048231.1-0,2,1234
CP048231.1-1,32,683
CP048231.1-2,28,771
CP048231.1-3,51,382
CP048231.1-4,63,272
CP048231.1-5,68,233
CP048231.1-6,40,535
CP048231.1-7,70,217
CP048231.1-8,51,383
CP048231.1-9,93,120
CP048231.1-10,36,601
CP048231.1-11,38,572
CP048231.1-12,13,1087
CP048231.1-13,20,943
CP048231.1-14,29,744
CP048231.1-15,24,857
CP048231.1-16,20,944
CP048231.1-17,29,745
CP048231.1-18,17,1003
CP048231.1-19,30,723
CP048231.1-20,26,812
CP048231.1-21,6,1195
CP048231.1-22,46,454
CP048231.1-23,90,130
CP048231.1-24,48,429
CP048231.1-25,62,282
CP048231.1-26,45,466
CP048231.1-27,96,112
CP048231.1-28,98,101
CP048231.1-29,161,29
CP048231.1-30,111,70
CP048231.1-31,48,430
CP048231.1-32,29,746
CP048231.1-33,23,871
CP048231.1-34,54,352
CP048231.1-35,191,14
CP048231.1-36,35,628
CP048231.1-37,90,131
CP048231.1-38,182,18
CP048231.1-39,63,273
CP048231.1-40,50,398
CP048231.1-41,110,76
CP048231.1-42,94,117
CP048231.1-43,88,140
CP048231.1-44,228,6
CP048231.1-45,178,20
CP048231.1-46,98,102
CP048231.1-47,222,7
CP048231.1-48,154,31
CP048231.1-49,18,986
CP048231.1-50,2,1235
CP048231.1-51,3,1224
CP048232.1-0,1,1240
CP048232.1-1,11,1122
CP048232.1-2,29,747
CP048232.1-3,55,338
CP048232.1-4,37,586
CP048232.1-5,44,478
CP048232.1-6,37,587
CP048232.1-7,47,444
CP048232.1-8,47,445
CP048232.1-9,8,1167
CP048232.1-10,31,704
CP048232.1-11,32,684
CP048232.1-12,22,900
CP048232.1-13,14,1074
CP048232.1-14,35,629
CP048232.1-15,20,945
CP048232.1-16,85,151
CP048232.1-17,20,946
CP048232.1-18,63,274
CP048232.1-19,41,517
CP048232.1-20,11,1123
CP048232.1-21,36,602
CP048232.1-22,38,573
CP048232.1-23,81,167
CP048232.1-24,111,71
CP048232.1-25,13,1088
CP048232.1-26,36,603
CP048232.1-27,57,322
CP048232.1-28,64,263
CP048232.1-29,38,574
CP048232.1-30,27,791
CP048232.1-31,95,114
CP048232.1-32,69,223
CP048232.1-33,43,491
CP048232.1-34,75,191
CP048232.1-35,65,254
CP048232.1-36,106,83
CP048232.1-37,125,54
CP048232.1-38,78,175
CP048232.1-39,131,49
CP048232.1-40,162,28
CP048232.1-41,180,19
CP048232.1-42,135,44
CP048232.1-43,258,4
CP048232.1-44,110,77
CP048232.1-45,146,35
CP048232.1-46,72,203
CP048232.1-47,123,57
CP048232.1-48,55,339
CP048232.1-49,28,772
CP048232.1-50,59,306
CP048232.1-51,29,748
CP048232.1-52,30,724
CP048232.1-53,9,1147
CP048233.1-0,3,1225
CP048233.1-1,16,1027
CP048233.1-2,72,204
CP048233.1-3,39,551
CP048233.1-4,15,1052
CP048233.1-5,68,234
CP048233.1-6,44,479
CP048233.1-7,46,455
CP048233.1-8,63,275
CP048233.1-9,115,64
CP048233.1-10,88,141
CP048233.1-11,8,1168
CP048233.1-12,47,446
CP048233.1-13,41,518
CP048233.1-14,26,813
CP048233.1-15,13,1089
CP048233.1-16,39,552
CP048233.1-17,12,1106
CP048233.1-18,77,183
CP048233.1-19,29,749
CP048233.1-20,16,1028
CP048233.1-21,25,840
CP048233.1-22,21,922
CP048233.1-23,13,1090
CP048233.1-24,55,340
CP048233.1-25,20,947
CP048233.1-26,18,987
CP048233.1-27,23,872
CP048233.1-28,4,1214
CP048233.1-29,14,1075
CP048233.1-30,35,630
CP048233.1-31,28,773
CP048233.1-32,4,1215
CP048233.1-33,21,923
CP048233.1-34,24,858
CP048233.1-35,13,1091
CP048233.1-36,14,1076
CP048233.1-37,18,988
CP048233.1-38,51,384
CP048233.1-39,32,685
CP048233.1-40,30,725
CP048233.1-41,27,792
CP048233.1-42,38,575
CP048233.1-43,28,774
CP048233.1-44,41,519
CP048233.1-45,30,726
CP048233.1-46,31,705
CP048233.1-47,57,323
CP048233.1-48,26,814
CP048233.1-49,75,192
CP048233.1-50,47,447
CP048233.1-51,42,500
CP048233.1-52,20,948
CP048233.1-53,118,61
CP048233.1-54,83,160
CP048233.1-55,135,45
CP048233.1-56,67,239
CP048233.1-57,114,67
CP048233.1-58,102,90
CP048233.1-59,113,68
CP048233.1-60,133,47
CP048233.1-61,70,218
CP048233.1-62,97,106
CP048233.1-63,60,299
CP048233.1-64,171,23
CP048233.1-65,49,410
CP048233.1-66,136,41
CP048233.1-67,40,536
CP048233.1-68,97,107
CP048233.1-69,5,1205
CP048233.1-70,1,1241
CP048234.1-0,0,1250
CP048234.1-1,10,1138
CP048234.1-2,20,949
CP048234.1-3,8,1169
CP048234.1-4,15,1053
CP048234.1-5,15,1054
CP048234.1-6,21,924
CP048234.1-7,27,793
CP048234.1-8,25,841
CP048234.1-9,39,553
CP048234.1-10,16,1029
CP048234.1-11,18,989
CP048234.1-12,67,240
CP048234.1-13,62,283
CP048234.1-14,62,284
CP048234.1-15,25,842
CP048234.1-16,31,706
CP048234.1-17,41,520
CP048234.1-18,31,707
CP048234.1-19,90,132
CP048234.1-20,84,157
CP048234.1-21,63,276
CP048234.1-22,78,176
CP048234.1-23,209,10
CP048234.1-24,87,144
CP048234.1-25,111,72
CP048234.1-26,138,39
CP048234.1-27,78,177
CP048234.1-28,93,121
CP048234.1-29,58,313
CP048234.1-30,95,115
CP048234.1-31,137,40
CP048234.1-32,72,205
CP048234.1-33,65,255
CP048234.1-34,26,815
CP048234.1-35,32,686
CP048234.1-36,97,108
CP048234.1-37,49,411
CP048234.1-38,42,501
CP048234.1-39,94,118
CP048234.1-40,25,843
CP048234.1-41,43,492
CP048234.1-42,30,727
CP048234.1-43,84,158
CP048234.1-44,103,88
CP048234.1-45,30,728
CP048234.1-46,64,264
CP048234.1-47,54,353
CP048234.1-48,35,631
CP048234.1-49,56,331
CP048234.1-50,71,210
CP048234.1-51,12,1107
CP048234.1-52,40,537
CP048234.1-53,44,480
CP048234.1-54,10,1139
CP048234.1-55,18,990
CP048234.1-56,49,412
CP048234.1-57,69,224
CP048234.1-58,50,399
CP048234.1-59,26,816
CP048234.1-60,16,1030
CP048234.1-61,42,502
CP048234.1-62,86,150
CP048234.1-63,35,632
CP048234.1-64,57,324
CP048234.1-65,36,604
CP048234.1-66,48,431
CP048234.1-67,23,873
CP048234.1-68,4,1216
CP048234.1-69,1,1242
CP048234.1-70,1,1243
CP048235.1-0,4,1217
CP048235.1-1,0,1251
CP048235.1-2,8,1170
CP048235.1-3,67,241
CP048235.1-4,76,187
CP048235.1-5,118,62
CP048235.1-6,3,1226
CP048235.1-7,75,193
CP048235.1-8,112,69
