Bin index,yH299-H2O2-treated-facs-pool4,yH299-H2O2-treated-facs-pool4 rank
CP048230.1-0,1,1218
CP048230.1-1,2,1189
CP048230.1-2,2,1190
CP048230.1-3,26,384
CP048230.1-4,17,634
CP048230.1-5,46,145
CP048230.1-6,53,101
CP048230.1-7,97,25
CP048230.1-8,43,162
CP048230.1-9,93,29
CP048230.1-10,36,226
CP048230.1-11,6,1047
CP048230.1-12,89,31
CP048230.1-13,35,238
CP048230.1-14,77,44
CP048230.1-15,37,212
CP048230.1-16,18,603
CP048230.1-17,23,466
CP048230.1-18,93,30
CP048230.1-19,41,176
CP048230.1-20,32,272
CP048230.1-21,7,1022
CP048230.1-22,5,1087
CP048230.1-23,32,273
CP048230.1-24,5,1088
CP048230.1-25,29,320
CP048230.1-26,51,110
CP048230.1-27,33,257
CP048230.1-28,14,719
CP048230.1-29,13,773
CP048230.1-30,1,1219
CP048230.1-31,9,933
CP048230.1-32,24,440
CP048230.1-33,21,529
CP048230.1-34,27,363
CP048230.1-35,25,408
CP048230.1-36,5,1089
CP048230.1-37,39,191
CP048230.1-38,12,810
CP048230.1-39,8,979
CP048230.1-40,12,811
CP048230.1-41,28,341
CP048230.1-42,18,604
CP048230.1-43,30,304
CP048230.1-44,50,120
CP048230.1-45,8,980
CP048230.1-46,29,321
CP048230.1-47,19,574
CP048230.1-48,25,409
CP048230.1-49,1,1220
CP048231.1-0,0,1239
CP048231.1-1,22,496
CP048231.1-2,22,497
CP048231.1-3,27,364
CP048231.1-4,33,258
CP048231.1-5,36,227
CP048231.1-6,21,530
CP048231.1-7,34,246
CP048231.1-8,19,575
CP048231.1-9,45,151
CP048231.1-10,11,844
CP048231.1-11,13,774
CP048231.1-12,4,1120
CP048231.1-13,5,1090
CP048231.1-14,15,690
CP048231.1-15,18,605
CP048231.1-16,6,1048
CP048231.1-17,13,775
CP048231.1-18,7,1023
CP048231.1-19,14,720
CP048231.1-20,16,661
CP048231.1-21,0,1240
CP048231.1-22,21,531
CP048231.1-23,50,121
CP048231.1-24,25,410
CP048231.1-25,33,259
CP048231.1-26,33,260
CP048231.1-27,63,62
CP048231.1-28,60,74
CP048231.1-29,82,40
CP048231.1-30,49,125
CP048231.1-31,12,812
CP048231.1-32,17,635
CP048231.1-33,4,1121
CP048231.1-34,31,290
CP048231.1-35,135,5
CP048231.1-36,19,576
CP048231.1-37,53,102
CP048231.1-38,119,10
CP048231.1-39,35,239
CP048231.1-40,25,411
CP048231.1-41,51,111
CP048231.1-42,55,93
CP048231.1-43,49,126
CP048231.1-44,114,14
CP048231.1-45,87,34
CP048231.1-46,59,78
CP048231.1-47,119,11
CP048231.1-48,101,22
CP048231.1-49,6,1049
CP048231.1-50,0,1241
CP048231.1-51,3,1161
CP048232.1-0,0,1242
CP048232.1-1,4,1122
CP048232.1-2,14,721
CP048232.1-3,23,467
CP048232.1-4,21,532
CP048232.1-5,28,342
CP048232.1-6,19,577
CP048232.1-7,18,606
CP048232.1-8,26,385
CP048232.1-9,4,1123
CP048232.1-10,21,533
CP048232.1-11,14,722
CP048232.1-12,17,636
CP048232.1-13,8,981
CP048232.1-14,12,813
CP048232.1-15,9,934
CP048232.1-16,47,137
CP048232.1-17,8,982
CP048232.1-18,31,291
CP048232.1-19,19,578
CP048232.1-20,10,887
CP048232.1-21,14,723
CP048232.1-22,17,637
CP048232.1-23,44,157
CP048232.1-24,51,112
CP048232.1-25,5,1091
CP048232.1-26,15,691
CP048232.1-27,29,322
CP048232.1-28,29,323
CP048232.1-29,17,638
CP048232.1-30,18,607
CP048232.1-31,50,122
CP048232.1-32,28,343
CP048232.1-33,19,579
CP048232.1-34,39,192
CP048232.1-35,60,75
CP048232.1-36,50,123
CP048232.1-37,55,94
CP048232.1-38,57,85
CP048232.1-39,73,49
CP048232.1-40,81,41
CP048232.1-41,87,35
CP048232.1-42,79,43
CP048232.1-43,161,2
CP048232.1-44,60,76
CP048232.1-45,88,32
CP048232.1-46,40,183
CP048232.1-47,83,37
CP048232.1-48,25,412
CP048232.1-49,17,639
CP048232.1-50,29,324
CP048232.1-51,14,724
CP048232.1-52,20,555
CP048232.1-53,8,983
CP048233.1-0,0,1243
CP048233.1-1,11,845
CP048233.1-2,118,12
CP048233.1-3,32,274
CP048233.1-4,7,1024
CP048233.1-5,26,386
CP048233.1-6,25,413
CP048233.1-7,22,498
CP048233.1-8,26,387
CP048233.1-9,56,90
CP048233.1-10,48,133
CP048233.1-11,3,1162
CP048233.1-12,27,365
CP048233.1-13,15,692
CP048233.1-14,17,640
CP048233.1-15,8,984
CP048233.1-16,25,414
CP048233.1-17,9,935
CP048233.1-18,40,184
CP048233.1-19,11,846
CP048233.1-20,7,1025
CP048233.1-21,19,580
CP048233.1-22,4,1124
CP048233.1-23,4,1125
CP048233.1-24,29,325
CP048233.1-25,9,936
CP048233.1-26,4,1126
CP048233.1-27,10,888
CP048233.1-28,0,1244
CP048233.1-29,10,889
CP048233.1-30,16,662
CP048233.1-31,11,847
CP048233.1-32,3,1163
CP048233.1-33,13,776
CP048233.1-34,15,693
CP048233.1-35,8,985
CP048233.1-36,8,986
CP048233.1-37,12,814
CP048233.1-38,26,388
CP048233.1-39,19,581
CP048233.1-40,23,468
CP048233.1-41,6,1050
CP048233.1-42,16,663
CP048233.1-43,22,499
CP048233.1-44,25,415
CP048233.1-45,10,890
CP048233.1-46,10,891
CP048233.1-47,34,247
CP048233.1-48,9,937
CP048233.1-49,42,167
CP048233.1-50,25,416
CP048233.1-51,27,366
CP048233.1-52,9,938
CP048233.1-53,61,71
CP048233.1-54,35,240
CP048233.1-55,83,38
CP048233.1-56,31,292
CP048233.1-57,64,61
CP048233.1-58,68,55
CP048233.1-59,57,86
CP048233.1-60,87,36
CP048233.1-61,38,200
CP048233.1-62,43,163
CP048233.1-63,29,326
CP048233.1-64,115,13
CP048233.1-65,20,556
