Bin index,yH298-parent-pool2,yH298-parent-pool2 rank
CP048230.1-0,3,1226
CP048230.1-1,0,1254
CP048230.1-2,3,1227
CP048230.1-3,60,551
CP048230.1-4,62,525
CP048230.1-5,128,135
CP048230.1-6,169,65
CP048230.1-7,259,18
CP048230.1-8,125,147
CP048230.1-9,252,20
CP048230.1-10,97,262
CP048230.1-11,37,860
CP048230.1-12,235,29
CP048230.1-13,99,251
CP048230.1-14,217,34
CP048230.1-15,102,233
CP048230.1-16,61,536
CP048230.1-17,85,335
CP048230.1-18,198,42
CP048230.1-19,107,206
CP048230.1-20,103,228
CP048230.1-21,22,1081
CP048230.1-22,11,1181
CP048230.1-23,89,312
CP048230.1-24,26,1025
CP048230.1-25,105,213
CP048230.1-26,112,188
CP048230.1-27,83,350
CP048230.1-28,51,663
CP048230.1-29,30,957
CP048230.1-30,6,1216
CP048230.1-31,26,1026
CP048230.1-32,68,466
CP048230.1-33,76,404
CP048230.1-34,87,320
CP048230.1-35,85,336
CP048230.1-36,31,946
CP048230.1-37,96,269
CP048230.1-38,49,685
CP048230.1-39,41,807
CP048230.1-40,45,745
CP048230.1-41,74,418
CP048230.1-42,52,656
CP048230.1-43,81,363
CP048230.1-44,117,168
CP048230.1-45,49,686
CP048230.1-46,65,495
CP048230.1-47,76,405
CP048230.1-48,78,386
CP048230.1-49,4,1222
CP048230.1-50,2,1232
CP048231.1-0,0,1255
CP048231.1-1,52,657
CP048231.1-2,50,677
CP048231.1-3,70,447
CP048231.1-4,80,370
CP048231.1-5,87,321
CP048231.1-6,70,448
CP048231.1-7,98,252
CP048231.1-8,49,687
CP048231.1-9,164,70
CP048231.1-10,54,630
CP048231.1-11,48,702
CP048231.1-12,24,1045
CP048231.1-13,23,1061
CP048231.1-14,42,793
CP048231.1-15,42,794
CP048231.1-16,30,958
CP048231.1-17,36,879
CP048231.1-18,45,746
CP048231.1-19,49,688
CP048231.1-20,39,833
CP048231.1-21,12,1171
CP048231.1-22,67,474
CP048231.1-23,160,73
CP048231.1-24,62,526
CP048231.1-25,97,263
CP048231.1-26,83,351
CP048231.1-27,123,152
CP048231.1-28,144,103
CP048231.1-29,210,37
CP048231.1-30,156,80
CP048231.1-31,63,513
CP048231.1-32,51,664
CP048231.1-33,47,715
CP048231.1-34,86,331
CP048231.1-35,226,31
CP048231.1-36,61,537
CP048231.1-37,167,66
CP048231.1-38,298,10
CP048231.1-39,108,203
CP048231.1-40,80,371
CP048231.1-41,144,104
CP048231.1-42,167,67
CP048231.1-43,143,107
CP048231.1-44,300,9
CP048231.1-45,251,21
CP048231.1-46,197,44
CP048231.1-47,260,16
CP048231.1-48,248,22
CP048231.1-49,21,1089
CP048231.1-50,0,1256
CP048231.1-51,9,1193
CP048232.1-0,2,1233
CP048232.1-1,24,1046
CP048232.1-2,42,795
CP048232.1-3,66,487
CP048232.1-4,49,689
CP048232.1-5,72,431
CP048232.1-6,62,527
CP048232.1-7,56,604
CP048232.1-8,61,538
CP048232.1-9,23,1062
CP048232.1-10,58,579
CP048232.1-11,46,731
CP048232.1-12,29,978
CP048232.1-13,37,861
CP048232.1-14,45,747
CP048232.1-15,44,759
CP048232.1-16,126,142
CP048232.1-17,31,947
CP048232.1-18,109,201
CP048232.1-19,62,528
CP048232.1-20,27,1006
CP048232.1-21,56,605
CP048232.1-22,42,796
CP048232.1-23,110,198
CP048232.1-24,160,74
CP048232.1-25,31,948
CP048232.1-26,45,748
CP048232.1-27,84,344
CP048232.1-28,86,332
CP048232.1-29,58,580
CP048232.1-30,51,665
CP048232.1-31,135,122
CP048232.1-32,93,284
CP048232.1-33,61,539
CP048232.1-34,120,158
CP048232.1-35,74,419
CP048232.1-36,156,81
CP048232.1-37,181,52
CP048232.1-38,153,84
CP048232.1-39,194,47
CP048232.1-40,246,26
CP048232.1-41,260,17
CP048232.1-42,237,28
CP048232.1-43,368,2
CP048232.1-44,215,36
CP048232.1-45,209,39
CP048232.1-46,93,285
CP048232.1-47,196,46
CP048232.1-48,90,298
CP048232.1-49,67,475
CP048232.1-50,90,299
CP048232.1-51,43,772
CP048232.1-52,47,716
CP048232.1-53,23,1063
CP048232.1-54,0,1257
CP048232.1-55,1,1240
CP048233.1-0,1,1241
CP048233.1-1,27,1007
CP048233.1-2,112,189
CP048233.1-3,48,703
CP048233.1-4,18,1122
CP048233.1-5,89,313
CP048233.1-6,53,640
CP048233.1-7,70,449
CP048233.1-8,92,289
CP048233.1-9,160,75
CP048233.1-10,133,125
CP048233.1-11,11,1182
CP048233.1-12,78,387
CP048233.1-13,62,529
CP048233.1-14,53,641
CP048233.1-15,20,1101
CP048233.1-16,58,581
CP048233.1-17,14,1158
CP048233.1-18,117,169
CP048233.1-19,43,773
CP048233.1-20,21,1090
CP048233.1-21,42,797
CP048233.1-22,20,1102
CP048233.1-23,18,1123
CP048233.1-24,84,345
CP048233.1-25,28,992
CP048233.1-26,28,993
CP048233.1-27,22,1082
CP048233.1-28,4,1223
CP048233.1-29,23,1064
CP048233.1-30,48,704
CP048233.1-31,26,1027
CP048233.1-32,7,1210
CP048233.1-33,39,834
CP048233.1-34,21,1091
CP048233.1-35,37,862
CP048233.1-36,27,1008
CP048233.1-37,24,1047
CP048233.1-38,62,530
CP048233.1-39,57,591
CP048233.1-40,49,690
CP048233.1-41,24,1048
CP048233.1-42,61,540
CP048233.1-43,58,582
CP048233.1-44,67,476
CP048233.1-45,53,642
CP048233.1-46,42,798
CP048233.1-47,85,337
CP048233.1-48,39,835
CP048233.1-49,110,199
CP048233.1-50,78,388
CP048233.1-51,60,552
CP048233.1-52,37,863
CP048233.1-53,141,111
CP048233.1-54,118,163
CP048233.1-55,178,54
CP048233.1-56,98,253
CP048233.1-57,158,76
CP048233.1-58,132,127
CP048233.1-59,157,77
CP048233.1-60,221,33
CP048233.1-61,116,177
CP048233.1-62,127,139
CP048233.1-63,104,221
CP048233.1-64,247,24
CP048233.1-65,63,514
CP048233.1-66,172,61
CP048233.1-67,76,406
CP048233.1-68,141,112
CP048233.1-69,7,1211
CP048233.1-70,3,1228
CP048234.1-0,1,1242
CP048234.1-1,13,1164
CP048234.1-2,3,1229
CP048234.1-3,1,1243
CP048234.1-4,33,910
CP048234.1-5,37,864
CP048234.1-6,33,911
CP048234.1-7,34,898
CP048234.1-8,51,666
CP048234.1-9,46,732
CP048234.1-10,30,959
CP048234.1-11,40,822
