Bin index,yH298-parent-pool2_normalized,yH298-parent-pool2_normalized rank
CP048230.1-0,3,1217
CP048230.1-1,0,1246
CP048230.1-2,3,1218
CP048230.1-3,52,545
CP048230.1-4,54,519
CP048230.1-5,121,119
CP048230.1-6,155,61
CP048230.1-7,230,23
CP048230.1-8,110,151
CP048230.1-9,236,18
CP048230.1-10,85,264
CP048230.1-11,34,819
CP048230.1-12,211,30
CP048230.1-13,92,221
CP048230.1-14,193,37
CP048230.1-15,87,252
CP048230.1-16,55,509
CP048230.1-17,74,347
CP048230.1-18,179,43
CP048230.1-19,94,214
CP048230.1-20,92,222
CP048230.1-21,19,1047
CP048230.1-22,9,1170
CP048230.1-23,76,333
CP048230.1-24,19,1048
CP048230.1-25,95,209
CP048230.1-26,101,184
CP048230.1-27,68,397
CP048230.1-28,43,672
CP048230.1-29,20,1030
CP048230.1-30,3,1219
CP048230.1-31,19,1049
CP048230.1-32,57,491
CP048230.1-33,69,385
CP048230.1-34,79,308
CP048230.1-35,76,334
CP048230.1-36,23,989
CP048230.1-37,81,287
CP048230.1-38,43,673
CP048230.1-39,32,838
CP048230.1-40,39,735
CP048230.1-41,64,429
CP048230.1-42,41,702
CP048230.1-43,73,356
CP048230.1-44,95,210
CP048230.1-45,44,649
CP048230.1-46,61,454
CP048230.1-47,66,410
CP048230.1-48,70,374
CP048230.1-49,2,1225
CP048231.1-0,0,1247
CP048231.1-1,47,614
CP048231.1-2,44,650
CP048231.1-3,64,430
CP048231.1-4,70,375
CP048231.1-5,81,288
CP048231.1-6,62,445
CP048231.1-7,84,272
CP048231.1-8,36,787
CP048231.1-9,149,68
CP048231.1-10,44,651
CP048231.1-11,42,688
CP048231.1-12,18,1067
CP048231.1-13,21,1017
CP048231.1-14,36,788
CP048231.1-15,36,789
CP048231.1-16,21,1018
CP048231.1-17,34,820
CP048231.1-18,38,750
CP048231.1-19,43,674
CP048231.1-20,34,821
CP048231.1-21,10,1164
CP048231.1-22,62,446
CP048231.1-23,138,85
CP048231.1-24,54,520
CP048231.1-25,87,253
CP048231.1-26,74,348
CP048231.1-27,110,152
CP048231.1-28,129,104
CP048231.1-29,195,36
CP048231.1-30,142,79
CP048231.1-31,53,530
CP048231.1-32,41,703
CP048231.1-33,36,790
CP048231.1-34,77,322
CP048231.1-35,212,29
CP048231.1-36,51,560
CP048231.1-37,145,71
CP048231.1-38,271,13
CP048231.1-39,97,198
CP048231.1-40,70,376
CP048231.1-41,131,101
CP048231.1-42,152,64
CP048231.1-43,127,108
CP048231.1-44,272,12
CP048231.1-45,235,19
CP048231.1-46,182,42
CP048231.1-47,241,16
CP048231.1-48,222,27
CP048231.1-49,20,1031
CP048231.1-50,0,1248
CP048231.1-51,7,1189
CP048232.1-0,1,1232
CP048232.1-1,22,1004
CP048232.1-2,41,704
CP048232.1-3,55,510
CP048232.1-4,44,652
CP048232.1-5,66,411
CP048232.1-6,54,521
CP048232.1-7,47,615
CP048232.1-8,56,498
CP048232.1-9,16,1094
CP048232.1-10,53,531
CP048232.1-11,41,705
CP048232.1-12,24,973
CP048232.1-13,32,839
CP048232.1-14,39,736
CP048232.1-15,40,720
CP048232.1-16,115,140
CP048232.1-17,24,974
CP048232.1-18,93,218
CP048232.1-19,59,471
CP048232.1-20,16,1095
CP048232.1-21,47,616
CP048232.1-22,32,840
CP048232.1-23,96,204
CP048232.1-24,143,77
CP048232.1-25,27,921
CP048232.1-26,41,706
CP048232.1-27,70,377
CP048232.1-28,75,339
CP048232.1-29,48,599
CP048232.1-30,45,642
CP048232.1-31,128,105
CP048232.1-32,80,295
CP048232.1-33,48,600
CP048232.1-34,108,157
CP048232.1-35,58,478
CP048232.1-36,141,80
CP048232.1-37,164,53
CP048232.1-38,136,90
CP048232.1-39,176,45
CP048232.1-40,234,20
CP048232.1-41,243,15
CP048232.1-42,207,31
CP048232.1-43,340,2
CP048232.1-44,190,39
CP048232.1-45,196,35
CP048232.1-46,84,273
CP048232.1-47,175,46
CP048232.1-48,77,323
CP048232.1-49,60,461
CP048232.1-50,81,289
CP048232.1-51,36,791
CP048232.1-52,39,737
CP048232.1-53,23,990
CP048233.1-0,1,1233
CP048233.1-1,21,1019
CP048233.1-2,69,386
CP048233.1-3,38,751
CP048233.1-4,16,1096
CP048233.1-5,85,265
CP048233.1-6,48,601
CP048233.1-7,63,439
CP048233.1-8,81,290
CP048233.1-9,144,74
CP048233.1-10,119,127
CP048233.1-11,9,1171
CP048233.1-12,73,357
CP048233.1-13,57,492
CP048233.1-14,44,653
CP048233.1-15,16,1097
CP048233.1-16,48,602
CP048233.1-17,10,1165
CP048233.1-18,99,190
CP048233.1-19,39,738
CP048233.1-20,17,1080
CP048233.1-21,36,792
CP048233.1-22,16,1098
CP048233.1-23,15,1111
CP048233.1-24,76,335
CP048233.1-25,24,975
CP048233.1-26,22,1005
CP048233.1-27,18,1068
CP048233.1-28,1,1234
CP048233.1-29,15,1112
CP048233.1-30,38,752
CP048233.1-31,23,991
CP048233.1-32,7,1190
CP048233.1-33,32,841
CP048233.1-34,16,1099
CP048233.1-35,32,842
CP048233.1-36,19,1050
CP048233.1-37,18,1069
CP048233.1-38,53,532
CP048233.1-39,53,533
CP048233.1-40,40,721
CP048233.1-41,18,1070
CP048233.1-42,53,534
CP048233.1-43,44,654
CP048233.1-44,58,479
CP048233.1-45,44,655
CP048233.1-46,38,753
CP048233.1-47,69,387
CP048233.1-48,35,809
CP048233.1-49,93,219
CP048233.1-50,71,369
CP048233.1-51,50,579
CP048233.1-52,32,843
CP048233.1-53,124,114
CP048233.1-54,107,160
CP048233.1-55,161,59
CP048233.1-56,80,296
CP048233.1-57,139,84
CP048233.1-58,119,128
CP048233.1-59,144,75
CP048233.1-60,206,32
CP048233.1-61,103,178
CP048233.1-62,109,154
CP048233.1-63,88,249
CP048233.1-64,224,26
CP048233.1-65,54,522
CP048233.1-66,151,65
CP048233.1-67,67,399
CP048233.1-68,127,109
CP048233.1-69,6,1199
CP048233.1-70,3,1220
CP048234.1-0,1,1235
CP048234.1-1,11,1157
CP048234.1-2,2,1226
CP048234.1-3,1,1236
CP048234.1-4,29,889
CP048234.1-5,31,859
CP048234.1-6,27,922
CP048234.1-7,25,959
CP048234.1-8,41,707
CP048234.1-9,39,739
CP048234.1-10,25,960
CP048234.1-11,31,860
CP048234.1-12,97,199
CP048234.1-13,84,274
CP048234.1-14,85,266
CP048234.1-15,44,656
CP048234.1-16,32,844
CP048234.1-17,45,643
CP048234.1-18,36,793
CP048234.1-19,100,187
CP048234.1-20,126,111
CP048234.1-21,98,194
CP048234.1-22,134,97
CP048234.1-23,310,6
CP048234.1-24,135,94
CP048234.1-25,155,62
CP048234.1-26,193,38
CP048234.1-27,115,141
CP048234.1-28,106,165
CP048234.1-29,106,166
CP048234.1-30,135,95
CP048234.1-31,164,54
CP048234.1-32,99,191
CP048234.1-33,85,267
CP048234.1-34,22,1006
CP048234.1-35,31,861
CP048234.1-36,132,100
CP048234.1-37,75,340
CP048234.1-38,58,480
CP048234.1-39,119,129
CP048234.1-40,28,907
CP048234.1-41,67,400
CP048234.1-42,44,657
CP048234.1-43,100,188
CP048234.1-44,140,82
CP048234.1-45,54,523
CP048234.1-46,89,242
CP048234.1-47,74,349
CP048234.1-48,38,754
CP048234.1-49,116,136
CP048234.1-50,96,205
CP048234.1-51,14,1124
CP048234.1-52,69,388
CP048234.1-53,47,617
CP048234.1-54,12,1147
CP048234.1-55,34,822
CP048234.1-56,72,362
CP048234.1-57,104,173
CP048234.1-58,87,254
CP048234.1-59,47,618
CP048234.1-60,19,1051
CP048234.1-61,69,389
CP048234.1-62,123,116
CP048234.1-63,65,423
CP048234.1-64,71,370
CP048234.1-65,56,499
CP048234.1-66,75,341
CP048234.1-67,28,908
CP048234.1-68,6,1200
CP048234.1-69,0,1249
CP048234.1-70,2,1227
CP048235.1-0,3,1221
CP048235.1-1,0,1250
CP048235.1-2,6,1201
CP048235.1-3,74,350
CP048235.1-4,106,167
CP048235.1-5,145,72
CP048235.1-6,9,1172
CP048235.1-7,90,239
CP048235.1-8,143,78
CP048235.1-9,48,603
CP048235.1-10,67,401
CP048235.1-11,40,722
CP048235.1-12,44,658
CP048235.1-13,49,591
CP048235.1-14,168,51
CP048235.1-15,81,291
CP048235.1-16,232,22
CP048235.1-17,28,909
CP048235.1-18,97,200
CP048235.1-19,121,120
CP048235.1-20,137,88
CP048235.1-21,39,740
CP048235.1-22,64,431
CP048235.1-23,138,86
CP048235.1-24,315,5
CP048235.1-25,164,55
CP048235.1-26,82,280
CP048235.1-27,124,115
CP048235.1-28,44,659
CP048235.1-29,58,481
CP048235.1-30,138,87
CP048235.1-31,41,708
CP048235.1-32,36,794
CP048235.1-33,55,511
CP048235.1-34,88,250
CP048235.1-35,69,390
CP048235.1-36,35,810
CP048235.1-37,107,161
CP048235.1-38,14,1125
CP048235.1-39,29,890
CP048235.1-40,32,845
CP048235.1-41,49,592
CP048235.1-42,70,378
CP048235.1-43,151,66
CP048235.1-44,10,1166
CP048235.1-45,36,795
CP048235.1-46,74,351
CP048235.1-47,113,147
CP048235.1-48,79,309
CP048235.1-49,38,755
CP048235.1-50,80,297
CP048235.1-51,43,675
CP048235.1-52,15,1113
CP048235.1-53,98,195
CP048235.1-54,21,1020
CP048235.1-55,78,316
CP048235.1-56,20,1032
CP048235.1-57,28,910
CP048235.1-58,28,911
CP048235.1-59,17,1081
CP048235.1-60,55,512
CP048235.1-61,80,298
CP048235.1-62,60,462
CP048235.1-63,49,593
CP048235.1-64,37,769
CP048235.1-65,6,1202
CP048235.1-66,20,1033
CP048235.1-67,17,1082
CP048235.1-68,33,832
CP048235.1-69,70,379
CP048235.1-70,82,281
CP048235.1-71,28,912
CP048235.1-72,30,875
CP048235.1-73,38,756
CP048235.1-74,69,391
CP048235.1-75,114,145
CP048235.1-76,34,823
CP048235.1-77,30,876
CP048235.1-78,14,1126
CP048235.1-79,26,941
CP048235.1-80,58,482
CP048235.1-81,61,455
CP048235.1-82,44,660
CP048235.1-83,38,757
CP048235.1-84,27,923
CP048235.1-85,17,1083
CP048235.1-86,77,324
CP048235.1-87,25,961
CP048235.1-88,97,201
CP048235.1-89,41,709
CP048235.1-90,97,202
CP048235.1-91,51,561
CP048235.1-92,35,811
CP048235.1-93,6,1203
CP048236.1-0,6,1204
CP048236.1-1,0,1251
CP048236.1-2,9,1173
CP048236.1-3,116,137
CP048236.1-4,155,63
CP048236.1-5,268,14
CP048236.1-6,49,594
CP048236.1-7,97,203
CP048236.1-8,189,41
CP048236.1-9,173,49
CP048236.1-10,51,562
CP048236.1-11,168,52
CP048236.1-12,150,67
CP048236.1-13,116,138
CP048236.1-14,75,342
CP048236.1-15,80,299
CP048236.1-16,114,146
CP048236.1-17,51,563
CP048236.1-18,16,1100
CP048236.1-19,78,317
CP048236.1-20,105,169
CP048236.1-21,21,1021
CP048236.1-22,28,913
CP048236.1-23,72,363
CP048236.1-24,27,924
CP048236.1-25,41,710
CP048236.1-26,67,402
CP048236.1-27,80,300
CP048236.1-28,110,153
CP048236.1-29,55,513
CP048236.1-30,13,1138
CP048236.1-31,62,447
CP048236.1-32,30,877
CP048236.1-33,52,546
CP048236.1-34,8,1182
CP048236.1-35,36,796
CP048236.1-36,64,432
CP048236.1-37,34,824
CP048236.1-38,44,661
CP048236.1-39,96,206
CP048236.1-40,19,1052
CP048236.1-41,19,1053
CP048236.1-42,52,547
CP048236.1-43,26,942
CP048236.1-44,48,604
CP048236.1-45,13,1139
CP048236.1-46,29,891
CP048236.1-47,82,282
CP048236.1-48,20,1034
CP048236.1-49,25,962
CP048236.1-50,27,925
CP048236.1-51,87,255
CP048236.1-52,27,926
CP048236.1-53,52,548
CP048236.1-54,33,833
CP048236.1-55,64,433
CP048236.1-56,43,676
CP048236.1-57,88,251
CP048236.1-58,49,595
CP048236.1-59,59,472
CP048236.1-60,53,535
CP048236.1-61,8,1183
CP048236.1-62,34,825
CP048236.1-63,79,310
CP048236.1-64,83,276
CP048236.1-65,24,976
CP048236.1-66,53,536
CP048236.1-67,35,812
CP048236.1-68,19,1054
CP048236.1-69,26,943
CP048236.1-70,105,170
CP048236.1-71,38,758
CP048236.1-72,22,1007
CP048236.1-73,54,524
CP048236.1-74,40,723
CP048236.1-75,14,1127
CP048236.1-76,14,1128
CP048236.1-77,61,456
CP048236.1-78,31,862
CP048236.1-79,37,770
CP048236.1-80,6,1205
CP048236.1-81,23,992
CP048236.1-82,66,412
CP048236.1-83,44,662
CP048236.1-84,52,549
CP048236.1-85,2,1228
CP048236.1-86,50,580
CP048236.1-87,73,358
CP048236.1-88,38,759
CP048236.1-89,51,564
CP048236.1-90,25,963
CP048236.1-91,46,628
CP048236.1-92,71,371
CP048236.1-93,86,261
CP048236.1-94,36,797
CP048236.1-95,16,1101
CP048236.1-96,69,392
CP048236.1-97,7,1191
CP048236.1-98,77,325
CP048236.1-99,9,1174
CP048236.1-100,6,1206
CP048237.1-0,1,1237
CP048237.1-1,0,1252
CP048237.1-2,46,629
CP048237.1-3,55,514
CP048237.1-4,62,448
CP048237.1-5,32,846
CP048237.1-6,15,1114
CP048237.1-7,98,196
CP048237.1-8,46,630
CP048237.1-9,21,1022
CP048237.1-10,23,993
CP048237.1-11,30,878
CP048237.1-12,26,944
CP048237.1-13,35,813
CP048237.1-14,36,798
CP048237.1-15,12,1148
CP048237.1-16,16,1102
CP048237.1-17,29,892
CP048237.1-18,48,605
CP048237.1-19,58,483
CP048237.1-20,32,847
CP048237.1-21,39,741
CP048237.1-22,41,711
CP048237.1-23,36,799
CP048237.1-24,77,326
CP048237.1-25,40,724
CP048237.1-26,13,1140
CP048237.1-27,16,1103
CP048237.1-28,43,677
CP048237.1-29,20,1035
CP048237.1-30,8,1184
CP048237.1-31,18,1071
CP048237.1-32,56,500
CP048237.1-33,27,927
CP048237.1-34,58,484
CP048237.1-35,46,631
CP048237.1-36,41,712
CP048237.1-37,19,1055
CP048237.1-38,85,268
CP048237.1-39,72,364
CP048237.1-40,91,230
CP048237.1-41,15,1115
CP048237.1-42,27,928
CP048237.1-43,28,914
CP048237.1-44,47,619
CP048237.1-45,10,1167
CP048237.1-46,47,620
CP048237.1-47,33,834
CP048237.1-48,77,327
CP048237.1-49,39,742
CP048237.1-50,3,1222
CP048237.1-51,94,215
CP048237.1-52,29,893
CP048237.1-53,41,713
CP048237.1-54,89,243
CP048237.1-55,47,621
