Bin index,yH298-parent-pool1_normalized,yH298-parent-pool1_normalized rank
CP048230.1-0,0,1237
CP048230.1-1,0,1238
CP048230.1-2,2,1219
CP048230.1-3,42,469
CP048230.1-4,34,616
CP048230.1-5,92,115
CP048230.1-6,130,47
CP048230.1-7,187,18
CP048230.1-8,83,146
CP048230.1-9,171,28
CP048230.1-10,55,330
CP048230.1-11,25,790
CP048230.1-12,174,25
CP048230.1-13,72,190
CP048230.1-14,158,32
CP048230.1-15,59,301
CP048230.1-16,35,596
CP048230.1-17,58,308
CP048230.1-18,122,57
CP048230.1-19,73,186
CP048230.1-20,74,180
CP048230.1-21,14,1021
CP048230.1-22,6,1169
CP048230.1-23,55,331
CP048230.1-24,14,1022
CP048230.1-25,64,257
CP048230.1-26,71,196
CP048230.1-27,52,367
CP048230.1-28,29,687
CP048230.1-29,16,980
CP048230.1-30,3,1212
CP048230.1-31,8,1143
CP048230.1-32,45,431
CP048230.1-33,42,470
CP048230.1-34,62,271
CP048230.1-35,53,355
CP048230.1-36,20,887
CP048230.1-37,61,283
CP048230.1-38,27,734
CP048230.1-39,22,848
CP048230.1-40,21,872
CP048230.1-41,50,377
CP048230.1-42,29,688
CP048230.1-43,53,356
CP048230.1-44,69,215
CP048230.1-45,28,716
CP048230.1-46,52,368
CP048230.1-47,50,378
CP048230.1-48,58,309
CP048231.1-0,0,1239
CP048231.1-1,36,580
CP048231.1-2,27,735
CP048231.1-3,45,432
CP048231.1-4,45,433
CP048231.1-5,68,225
CP048231.1-6,52,369
CP048231.1-7,61,284
CP048231.1-8,30,675
CP048231.1-9,102,86
CP048231.1-10,38,537
CP048231.1-11,29,689
CP048231.1-12,10,1106
CP048231.1-13,16,981
CP048231.1-14,28,717
CP048231.1-15,25,791
CP048231.1-16,12,1055
CP048231.1-17,20,888
CP048231.1-18,26,760
CP048231.1-19,22,849
CP048231.1-20,23,828
CP048231.1-21,2,1220
CP048231.1-22,46,417
CP048231.1-23,101,87
CP048231.1-24,43,459
CP048231.1-25,67,233
CP048231.1-26,55,332
CP048231.1-27,87,135
CP048231.1-28,95,105
CP048231.1-29,150,37
CP048231.1-30,118,58
CP048231.1-31,40,500
CP048231.1-32,29,690
CP048231.1-33,24,813
CP048231.1-34,47,411
CP048231.1-35,157,33
CP048231.1-36,38,538
CP048231.1-37,96,102
CP048231.1-38,191,15
CP048231.1-39,72,191
CP048231.1-40,51,373
CP048231.1-41,96,103
CP048231.1-42,108,75
CP048231.1-43,93,110
CP048231.1-44,199,12
CP048231.1-45,179,21
CP048231.1-46,140,41
CP048231.1-47,176,24
CP048231.1-48,174,26
CP048231.1-49,15,1002
CP048231.1-50,0,1240
CP048231.1-51,4,1195
CP048232.1-0,1,1226
CP048232.1-1,13,1034
CP048232.1-2,24,814
CP048232.1-3,40,501
CP048232.1-4,34,617
CP048232.1-5,42,471
CP048232.1-6,38,539
CP048232.1-7,38,540
CP048232.1-8,38,541
CP048232.1-9,7,1154
CP048232.1-10,37,557
CP048232.1-11,31,661
CP048232.1-12,23,829
CP048232.1-13,23,830
CP048232.1-14,27,736
CP048232.1-15,25,792
CP048232.1-16,92,116
CP048232.1-17,12,1056
CP048232.1-18,63,263
CP048232.1-19,39,522
CP048232.1-20,9,1124
CP048232.1-21,38,542
CP048232.1-22,26,761
CP048232.1-23,69,216
CP048232.1-24,103,85
CP048232.1-25,21,873
CP048232.1-26,27,737
CP048232.1-27,53,357
CP048232.1-28,57,319
CP048232.1-29,38,543
CP048232.1-30,31,662
CP048232.1-31,95,106
CP048232.1-32,58,310
CP048232.1-33,37,558
CP048232.1-34,78,167
CP048232.1-35,35,597
CP048232.1-36,115,63
CP048232.1-37,123,53
CP048232.1-38,99,91
CP048232.1-39,112,68
CP048232.1-40,177,22
CP048232.1-41,193,14
CP048232.1-42,162,30
CP048232.1-43,270,2
CP048232.1-44,157,34
CP048232.1-45,162,31
CP048232.1-46,71,197
CP048232.1-47,140,42
CP048232.1-48,55,333
CP048232.1-49,42,472
CP048232.1-50,58,311
CP048232.1-51,24,815
CP048232.1-52,29,691
CP048232.1-53,17,957
CP048233.1-0,1,1227
CP048233.1-1,15,1003
CP048233.1-2,42,473
CP048233.1-3,28,718
CP048233.1-4,11,1081
CP048233.1-5,64,258
CP048233.1-6,34,618
CP048233.1-7,46,418
CP048233.1-8,61,285
CP048233.1-9,112,69
CP048233.1-10,91,120
CP048233.1-11,7,1155
CP048233.1-12,45,434
CP048233.1-13,37,559
CP048233.1-14,26,762
CP048233.1-15,11,1082
CP048233.1-16,38,544
CP048233.1-17,7,1156
CP048233.1-18,73,187
CP048233.1-19,27,738
CP048233.1-20,9,1125
CP048233.1-21,22,850
CP048233.1-22,12,1057
CP048233.1-23,8,1144
CP048233.1-24,58,312
CP048233.1-25,15,1004
CP048233.1-26,12,1058
CP048233.1-27,11,1083
CP048233.1-28,0,1241
CP048233.1-29,12,1059
CP048233.1-30,26,763
CP048233.1-31,17,958
CP048233.1-32,6,1170
CP048233.1-33,23,831
CP048233.1-34,11,1084
CP048233.1-35,26,764
CP048233.1-36,12,1060
CP048233.1-37,14,1023
CP048233.1-38,39,523
CP048233.1-39,44,446
CP048233.1-40,38,545
CP048233.1-41,14,1024
CP048233.1-42,41,485
CP048233.1-43,29,692
CP048233.1-44,41,486
CP048233.1-45,26,765
CP048233.1-46,23,832
CP048233.1-47,55,334
CP048233.1-48,29,693
CP048233.1-49,69,217
CP048233.1-50,54,344
CP048233.1-51,38,546
CP048233.1-52,15,1005
CP048233.1-53,104,83
CP048233.1-54,80,160
CP048233.1-55,123,54
CP048233.1-56,70,201
CP048233.1-57,97,95
CP048233.1-58,91,121
CP048233.1-59,99,92
CP048233.1-60,148,38
CP048233.1-61,70,202
CP048233.1-62,80,161
CP048233.1-63,60,292
CP048233.1-64,170,29
CP048233.1-65,42,474
CP048233.1-66,123,55
CP048233.1-67,48,401
CP048233.1-68,97,96
CP048233.1-69,7,1157
CP048234.1-0,1,1228
CP048234.1-1,9,1126
CP048234.1-2,0,1242
CP048234.1-3,0,1243
CP048234.1-4,17,959
CP048234.1-5,20,889
CP048234.1-6,20,890
CP048234.1-7,21,874
CP048234.1-8,26,766
CP048234.1-9,26,767
CP048234.1-10,16,982
CP048234.1-11,24,816
CP048234.1-12,63,264
CP048234.1-13,62,272
CP048234.1-14,68,226
CP048234.1-15,28,719
CP048234.1-16,23,833
CP048234.1-17,28,720
CP048234.1-18,28,721
CP048234.1-19,80,162
CP048234.1-20,90,125
CP048234.1-21,61,286
CP048234.1-22,89,126
CP048234.1-23,250,6
CP048234.1-24,105,80
CP048234.1-25,116,61
CP048234.1-26,131,45
CP048234.1-27,92,117
CP048234.1-28,81,155
CP048234.1-29,80,163
CP048234.1-30,105,81
CP048234.1-31,117,59
CP048234.1-32,74,181
CP048234.1-33,68,227
CP048234.1-34,14,1025
CP048234.1-35,18,937
CP048234.1-36,104,84
CP048234.1-37,48,402
CP048234.1-38,41,487
CP048234.1-39,97,97
CP048234.1-40,18,938
CP048234.1-41,45,435
CP048234.1-42,25,793
CP048234.1-43,76,176
CP048234.1-44,114,66
CP048234.1-45,43,460
CP048234.1-46,61,287
CP048234.1-47,46,419
CP048234.1-48,30,676
CP048234.1-49,65,248
CP048234.1-50,65,249
CP048234.1-51,5,1185
CP048234.1-52,49,388
CP048234.1-53,34,619
CP048234.1-54,10,1107
CP048234.1-55,24,817
CP048234.1-56,50,379
CP048234.1-57,76,177
CP048234.1-58,66,241
CP048234.1-59,29,694
CP048234.1-60,11,1085
CP048234.1-61,45,436
CP048234.1-62,92,118
CP048234.1-63,46,420
CP048234.1-64,50,380
CP048234.1-65,43,461
CP048234.1-66,46,421
CP048234.1-67,23,834
CP048234.1-68,4,1196
CP048234.1-69,0,1244
CP048234.1-70,1,1229
CP048235.1-0,3,1213
CP048235.1-1,0,1245
CP048235.1-2,6,1171
CP048235.1-3,49,389
CP048235.1-4,81,156
CP048235.1-5,115,64
CP048235.1-6,6,1172
CP048235.1-7,63,265
CP048235.1-8,96,104
CP048235.1-9,34,620
CP048235.1-10,45,437
CP048235.1-11,26,768
CP048235.1-12,31,663
CP048235.1-13,32,645
CP048235.1-14,113,67
CP048235.1-15,53,358
CP048235.1-16,177,23
CP048235.1-17,15,1006
CP048235.1-18,70,203
CP048235.1-19,83,147
CP048235.1-20,100,89
CP048235.1-21,27,739
CP048235.1-22,40,502
CP048235.1-23,110,71
CP048235.1-24,267,3
CP048235.1-25,134,43
CP048235.1-26,58,313
CP048235.1-27,93,111
CP048235.1-28,32,646
CP048235.1-29,40,503
CP048235.1-30,109,73
CP048235.1-31,28,722
CP048235.1-32,27,740
CP048235.1-33,39,524
CP048235.1-34,58,314
CP048235.1-35,65,250
CP048235.1-36,22,851
CP048235.1-37,78,168
CP048235.1-38,9,1127
CP048235.1-39,23,835
CP048235.1-40,22,852
CP048235.1-41,33,637
CP048235.1-42,41,488
CP048235.1-43,116,62
CP048235.1-44,7,1158
CP048235.1-45,24,818
CP048235.1-46,59,302
CP048235.1-47,82,149
CP048235.1-48,70,204
CP048235.1-49,31,664
CP048235.1-50,69,218
CP048235.1-51,28,723
CP048235.1-52,7,1159
CP048235.1-53,70,205
CP048235.1-54,15,1007
CP048235.1-55,52,370
CP048235.1-56,11,1086
CP048235.1-57,18,939
CP048235.1-58,23,836
CP048235.1-59,13,1035
CP048235.1-60,48,403
CP048235.1-61,59,303
CP048235.1-62,45,438
CP048235.1-63,35,598
CP048235.1-64,29,695
CP048235.1-65,4,1197
CP048235.1-66,15,1008
CP048235.1-67,8,1145
CP048235.1-68,26,769
CP048235.1-69,49,390
CP048235.1-70,65,251
CP048235.1-71,13,1036
CP048235.1-72,20,891
CP048235.1-73,34,621
CP048235.1-74,56,323
CP048235.1-75,97,98
CP048235.1-76,21,875
CP048235.1-77,20,892
CP048235.1-78,9,1128
CP048235.1-79,22,853
CP048235.1-80,40,504
CP048235.1-81,46,422
CP048235.1-82,33,638
CP048235.1-83,32,647
CP048235.1-84,19,911
CP048235.1-85,12,1061
CP048235.1-86,50,381
CP048235.1-87,18,940
CP048235.1-88,71,198
CP048235.1-89,34,622
CP048235.1-90,77,173
CP048235.1-91,37,560
CP048235.1-92,29,696
CP048235.1-93,3,1214
CP048236.1-0,6,1173
CP048236.1-1,0,1246
CP048236.1-2,6,1174
CP048236.1-3,82,150
CP048236.1-4,115,65
CP048236.1-5,213,10
CP048236.1-6,34,623
CP048236.1-7,67,234
CP048236.1-8,147,40
CP048236.1-9,117,60
CP048236.1-10,36,581
CP048236.1-11,126,50
CP048236.1-12,112,70
CP048236.1-13,78,169
CP048236.1-14,57,320
CP048236.1-15,55,335
CP048236.1-16,88,132
CP048236.1-17,36,582
CP048236.1-18,13,1037
CP048236.1-19,57,321
CP048236.1-20,82,151
CP048236.1-21,16,983
CP048236.1-22,20,893
CP048236.1-23,59,304
CP048236.1-24,17,960
CP048236.1-25,27,741
CP048236.1-26,46,423
CP048236.1-27,62,273
CP048236.1-28,84,145
CP048236.1-29,43,462
CP048236.1-30,11,1087
CP048236.1-31,55,336
CP048236.1-32,27,742
CP048236.1-33,37,561
CP048236.1-34,4,1198
CP048236.1-35,22,854
CP048236.1-36,44,447
CP048236.1-37,26,770
CP048236.1-38,37,562
CP048236.1-39,70,206
CP048236.1-40,12,1062
CP048236.1-41,17,961
CP048236.1-42,35,599
CP048236.1-43,18,941
CP048236.1-44,39,525
CP048236.1-45,8,1146
CP048236.1-46,15,1009
CP048236.1-47,65,252
CP048236.1-48,17,962
CP048236.1-49,17,963
CP048236.1-50,21,876
CP048236.1-51,68,228
CP048236.1-52,20,894
CP048236.1-53,40,505
CP048236.1-54,25,794
CP048236.1-55,40,506
CP048236.1-56,29,697
CP048236.1-57,65,253
CP048236.1-58,37,563
CP048236.1-59,40,507
CP048236.1-60,41,489
CP048236.1-61,4,1199
CP048236.1-62,21,877
CP048236.1-63,55,337
CP048236.1-64,62,274
CP048236.1-65,17,964
CP048236.1-66,31,665
CP048236.1-67,26,771
CP048236.1-68,11,1088
CP048236.1-69,15,1010
