Bin index,yH298-H2O2-treated-facs-pool1,yH298-H2O2-treated-facs-pool1 rank
CP048230.1-0,1,1225
CP048230.1-1,0,1244
CP048230.1-2,1,1226
CP048230.1-3,24,634
CP048230.1-4,31,484
CP048230.1-5,66,137
CP048230.1-6,76,91
CP048230.1-7,138,18
CP048230.1-8,65,139
CP048230.1-9,140,17
CP048230.1-10,34,433
CP048230.1-11,12,954
CP048230.1-12,126,26
CP048230.1-13,55,196
CP048230.1-14,111,36
CP048230.1-15,51,222
CP048230.1-16,24,635
CP048230.1-17,41,321
CP048230.1-18,110,38
CP048230.1-19,55,197
CP048230.1-20,44,285
CP048230.1-21,15,879
CP048230.1-22,6,1123
CP048230.1-23,39,348
CP048230.1-24,11,986
CP048230.1-25,47,254
CP048230.1-26,72,107
CP048230.1-27,40,337
CP048230.1-28,22,690
CP048230.1-29,17,820
CP048230.1-30,1,1227
CP048230.1-31,8,1076
CP048230.1-32,40,338
CP048230.1-33,41,322
CP048230.1-34,40,339
CP048230.1-35,49,237
CP048230.1-36,14,910
CP048230.1-37,47,255
CP048230.1-38,30,506
CP048230.1-39,21,719
CP048230.1-40,23,666
CP048230.1-41,38,365
CP048230.1-42,24,636
CP048230.1-43,52,216
CP048230.1-44,56,189
CP048230.1-45,17,821
CP048230.1-46,25,610
CP048230.1-47,39,349
CP048230.1-48,41,323
CP048230.1-49,1,1228
CP048230.1-50,2,1211
CP048231.1-0,0,1245
CP048231.1-1,21,720
CP048231.1-2,31,485
CP048231.1-3,28,542
CP048231.1-4,38,366
CP048231.1-5,42,311
CP048231.1-6,27,561
CP048231.1-7,46,263
CP048231.1-8,20,740
CP048231.1-9,72,108
CP048231.1-10,28,543
CP048231.1-11,25,611
CP048231.1-12,10,1017
CP048231.1-13,14,911
CP048231.1-14,24,637
CP048231.1-15,16,852
CP048231.1-16,8,1077
CP048231.1-17,22,691
CP048231.1-18,15,880
CP048231.1-19,29,528
CP048231.1-20,18,784
CP048231.1-21,3,1195
CP048231.1-22,23,667
CP048231.1-23,80,80
CP048231.1-24,33,448
CP048231.1-25,43,293
CP048231.1-26,43,294
CP048231.1-27,75,94
CP048231.1-28,78,88
CP048231.1-29,109,40
CP048231.1-30,68,125
CP048231.1-31,30,507
CP048231.1-32,16,853
CP048231.1-33,12,955
CP048231.1-34,43,295
CP048231.1-35,138,19
CP048231.1-36,25,612
CP048231.1-37,85,67
CP048231.1-38,137,20
CP048231.1-39,49,238
CP048231.1-40,39,350
CP048231.1-41,80,81
CP048231.1-42,70,116
CP048231.1-43,73,102
CP048231.1-44,155,10
CP048231.1-45,118,31
CP048231.1-46,94,56
CP048231.1-47,160,9
CP048231.1-48,125,28
CP048231.1-49,9,1043
CP048231.1-50,0,1246
CP048231.1-51,2,1212
CP048232.1-0,3,1196
CP048232.1-1,12,956
CP048232.1-2,23,668
CP048232.1-3,34,434
CP048232.1-4,35,417
CP048232.1-5,31,486
CP048232.1-6,24,638
CP048232.1-7,26,592
CP048232.1-8,32,469
CP048232.1-9,7,1106
CP048232.1-10,30,508
CP048232.1-11,27,562
CP048232.1-12,18,785
CP048232.1-13,17,822
CP048232.1-14,21,721
CP048232.1-15,16,854
CP048232.1-16,61,157
CP048232.1-17,8,1078
CP048232.1-18,54,204
CP048232.1-19,27,563
CP048232.1-20,12,957
CP048232.1-21,29,529
CP048232.1-22,23,669
