Bin index,yH299-parent-pool4,yH299-parent-pool4 rank
CP048230.1-0,1,1211
CP048230.1-1,0,1236
CP048230.1-2,1,1212
CP048230.1-3,13,690
CP048230.1-4,17,545
CP048230.1-5,41,125
CP048230.1-6,40,132
CP048230.1-7,89,17
CP048230.1-8,36,169
CP048230.1-9,99,12
CP048230.1-10,29,249
CP048230.1-11,13,691
CP048230.1-12,79,27
CP048230.1-13,30,238
CP048230.1-14,62,50
CP048230.1-15,23,374
CP048230.1-16,15,615
CP048230.1-17,24,338
CP048230.1-18,66,44
CP048230.1-19,33,206
CP048230.1-20,26,296
CP048230.1-21,7,975
CP048230.1-22,2,1178
CP048230.1-23,27,284
CP048230.1-24,6,1016
CP048230.1-25,26,297
CP048230.1-26,30,239
CP048230.1-27,28,261
CP048230.1-28,13,692
CP048230.1-29,11,789
CP048230.1-30,4,1090
CP048230.1-31,4,1091
CP048230.1-32,26,298
CP048230.1-33,25,317
CP048230.1-34,17,546
CP048230.1-35,23,375
CP048230.1-36,3,1147
CP048230.1-37,34,193
CP048230.1-38,8,926
CP048230.1-39,10,830
CP048230.1-40,9,880
CP048230.1-41,24,339
CP048230.1-42,17,547
CP048230.1-43,26,299
CP048230.1-44,38,148
CP048230.1-45,12,739
CP048230.1-46,13,693
CP048230.1-47,25,318
CP048230.1-48,19,479
CP048230.1-49,4,1092
CP048230.1-50,4,1093
CP048231.1-0,2,1179
CP048231.1-1,12,740
CP048231.1-2,8,927
CP048231.1-3,24,340
CP048231.1-4,18,504
CP048231.1-5,31,232
CP048231.1-6,20,450
CP048231.1-7,25,319
CP048231.1-8,17,548
CP048231.1-9,48,82
CP048231.1-10,21,425
CP048231.1-11,10,831
CP048231.1-12,8,928
CP048231.1-13,10,832
CP048231.1-14,7,976
CP048231.1-15,8,929
CP048231.1-16,9,881
CP048231.1-17,11,790
CP048231.1-18,17,549
CP048231.1-19,10,833
CP048231.1-20,10,834
CP048231.1-21,2,1180
CP048231.1-22,17,550
CP048231.1-23,45,96
CP048231.1-24,17,551
CP048231.1-25,26,300
CP048231.1-26,29,250
CP048231.1-27,45,97
CP048231.1-28,49,79
CP048231.1-29,85,21
CP048231.1-30,61,55
CP048231.1-31,13,694
CP048231.1-32,17,552
CP048231.1-33,15,616
CP048231.1-34,18,505
CP048231.1-35,85,22
CP048231.1-36,19,480
CP048231.1-37,68,39
CP048231.1-38,95,13
CP048231.1-39,26,301
CP048231.1-40,24,341
CP048231.1-41,46,91
CP048231.1-42,28,262
CP048231.1-43,45,98
CP048231.1-44,109,9
CP048231.1-45,79,28
CP048231.1-46,56,64
CP048231.1-47,82,23
CP048231.1-48,67,41
CP048231.1-49,0,1237
CP048231.1-50,2,1181
CP048232.1-0,1,1213
CP048232.1-1,4,1094
CP048232.1-2,16,586
CP048232.1-3,20,451
CP048232.1-4,22,407
CP048232.1-5,23,376
CP048232.1-6,16,587
CP048232.1-7,16,588
CP048232.1-8,18,506
CP048232.1-9,7,977
CP048232.1-10,13,695
CP048232.1-11,15,617
CP048232.1-12,12,741
CP048232.1-13,19,481
CP048232.1-14,13,696
CP048232.1-15,9,882
CP048232.1-16,42,118
CP048232.1-17,7,978
CP048232.1-18,30,240
CP048232.1-19,21,426
CP048232.1-20,5,1058
CP048232.1-21,18,507
CP048232.1-22,15,618
CP048232.1-23,34,194
CP048232.1-24,45,99
CP048232.1-25,4,1095
CP048232.1-26,14,657
CP048232.1-27,18,508
CP048232.1-28,25,320
CP048232.1-29,21,427
CP048232.1-30,14,658
CP048232.1-31,66,45
CP048232.1-32,28,263
CP048232.1-33,18,509
CP048232.1-34,37,158
CP048232.1-35,26,302
CP048232.1-36,47,85
CP048232.1-37,62,51
CP048232.1-38,39,138
CP048232.1-39,67,42
CP048232.1-40,77,31
CP048232.1-41,95,14
