Chromosome,Position,Reads
CP048230.1,26244,33
CP048230.1,31789,32
CP048230.1,31927,18
CP048230.1,31936,10
CP048230.1,32577,8
CP048230.1,33638,4
CP048230.1,33654,14
CP048230.1,33906,5
CP048230.1,33956,23
CP048230.1,39102,18
CP048230.1,39103,109
CP048230.1,39199,92
CP048230.1,39205,40
CP048230.1,39207,263
CP048230.1,39216,4
CP048230.1,39235,164
CP048230.1,39241,80
CP048230.1,39242,293
CP048230.1,39266,78
CP048230.1,39272,1057
CP048230.1,39279,1307
CP048230.1,39283,238
CP048230.1,39287,29
CP048230.1,39290,68
CP048230.1,39291,12
CP048230.1,39379,43
CP048230.1,39407,99
CP048230.1,39439,28
CP048230.1,39446,51
CP048230.1,39453,40
CP048230.1,39455,39
CP048230.1,39462,62
CP048230.1,39480,1
CP048230.1,39523,22
CP048230.1,39565,12
CP048230.1,39574,198
CP048230.1,39588,87
CP048230.1,39659,18
CP048230.1,39666,415
CP048230.1,39690,94
CP048230.1,39943,1
CP048230.1,40538,61
CP048230.1,41121,5
CP048230.1,41221,86
CP048230.1,43314,266
CP048230.1,43321,73
CP048230.1,43356,10
CP048230.1,43450,130
CP048230.1,43493,72
CP048230.1,43515,1
CP048230.1,43522,81
CP048230.1,44773,1
CP048230.1,45436,78
CP048230.1,45443,46
CP048230.1,45472,2
CP048230.1,45518,5
CP048230.1,45889,31
CP048230.1,46032,24
CP048230.1,46394,83
CP048230.1,46910,96
CP048230.1,47272,20
CP048230.1,47445,8
CP048230.1,47452,82
CP048230.1,47521,1
CP048230.1,47700,13
CP048230.1,47882,5
CP048230.1,47976,140
CP048230.1,48134,5
CP048230.1,48224,60
CP048230.1,48538,1
CP048230.1,48794,6
CP048230.1,48798,57
CP048230.1,48975,234
CP048230.1,49147,121
CP048230.1,49339,40
CP048230.1,49393,6
CP048230.1,49461,38
CP048230.1,50362,6
CP048230.1,50369,159
CP048230.1,50503,124
CP048230.1,50510,174
CP048230.1,50558,105
CP048230.1,50869,54
CP048230.1,50919,72
CP048230.1,51017,2
CP048230.1,51024,1
CP048230.1,51046,22
CP048230.1,51102,92
CP048230.1,51109,18
CP048230.1,51114,1
CP048230.1,51128,119
CP048230.1,51135,39
CP048230.1,51149,265
CP048230.1,51156,134
CP048230.1,51160,129
CP048230.1,51172,12
CP048230.1,51236,1217
CP048230.1,51243,1553
CP048230.1,51425,15
CP048230.1,51467,323
CP048230.1,51473,49
CP048230.1,51482,4
CP048230.1,51499,102
CP048230.1,51512,7
CP048230.1,51519,4
CP048230.1,51529,104
CP048230.1,51535,317
CP048230.1,51549,532
CP048230.1,51556,187
CP048230.1,51560,52
CP048230.1,51563,184
CP048230.1,51596,159
CP048230.1,51625,136
CP048230.1,51632,351
CP048230.1,51658,12
CP048230.1,51675,2
CP048230.1,51700,287
CP048230.1,51713,176
CP048230.1,51720,187
CP048230.1,51721,104
CP048230.1,51736,493
CP048230.1,51764,187
CP048230.1,51765,12
CP048230.1,51772,534
CP048230.1,51882,1
CP048230.1,52037,701
CP048230.1,52067,168
CP048230.1,52108,123
CP048230.1,52239,167
CP048230.1,52242,5
CP048230.1,52471,57
CP048230.1,54622,113
CP048230.1,54919,56
CP048230.1,55042,113
CP048230.1,55250,3
CP048230.1,55256,4
CP048230.1,55269,3
CP048230.1,55281,293
CP048230.1,55347,35
CP048230.1,55350,56
CP048230.1,57014,22
CP048230.1,57022,74
CP048230.1,57086,91
CP048230.1,58830,26
CP048230.1,58837,18
CP048230.1,58845,8
CP048230.1,58940,79
CP048230.1,58977,145
CP048230.1,58981,13
CP048230.1,58984,146
CP048230.1,58996,115
CP048230.1,58999,66
CP048230.1,59007,49
CP048230.1,59014,128
CP048230.1,59046,247
CP048230.1,59053,155
CP048230.1,59138,64
CP048230.1,59194,32
CP048230.1,59257,2
CP048230.1,59263,98
CP048230.1,59283,12
CP048230.1,59571,36
CP048230.1,59578,104
CP048230.1,59612,6
CP048230.1,59643,14
CP048230.1,59718,19
CP048230.1,59869,17
CP048230.1,60038,90
CP048230.1,60145,3
CP048230.1,60428,3
CP048230.1,60439,53
CP048230.1,60636,11
CP048230.1,60754,1
CP048230.1,60881,1
CP048230.1,60936,2
CP048230.1,60949,61
CP048230.1,60952,42
CP048230.1,60959,1
CP048230.1,60981,35
CP048230.1,61053,67
CP048230.1,61060,5
CP048230.1,61087,68
CP048230.1,61088,61
CP048230.1,61098,5
CP048230.1,61106,61
CP048230.1,61110,222
CP048230.1,61111,119
CP048230.1,61117,65
CP048230.1,61121,21
CP048230.1,61153,54
CP048230.1,61154,2
CP048230.1,61158,52
CP048230.1,61185,61
CP048230.1,61198,36
CP048230.1,61269,56
CP048230.1,61300,101
CP048230.1,61361,192
CP048230.1,61368,10
CP048230.1,61369,135
CP048230.1,61377,228
CP048230.1,61378,25
CP048230.1,61384,116
CP048230.1,61404,103
CP048230.1,61406,28
CP048230.1,61467,30
CP048230.1,61477,38
CP048230.1,61481,65
CP048230.1,61482,85
CP048230.1,61536,242
CP048230.1,61541,70
CP048230.1,61578,7
CP048230.1,61592,91
CP048230.1,61603,246
CP048230.1,61612,156
CP048230.1,61614,356
CP048230.1,61619,109
CP048230.1,61621,1382
CP048230.1,61624,12
CP048230.1,61633,30
CP048230.1,61634,133
CP048230.1,61644,13
CP048230.1,61686,131
CP048230.1,61690,5
CP048230.1,61697,219
CP048230.1,61703,178
CP048230.1,61721,13
CP048230.1,61738,1
CP048230.1,61752,66
